DISTRICT_NAME,DISTRICT_CODE,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT
Hilltown Cooperative Charter Public (District),04500000,1432893.00,67877.00,21.3
Sturgis Charter Public (District),04890000,7598034.00,86960.00,88.1
Community Charter School of Cambridge (District),04360000,3195715.00,113259.00,30.6
Greater Fall River Regional Vocational Technical,08210000,14116765.00,98650.00,143.1
Libertas Academy Charter School (District),35140000,3413255.00,65637.00,53.1
Westford,03260000,33341992.00,90677.00,367.7
Southwick-Tolland-Granville Regional School District,07660000,9519730.00,79998.00,119.0
Springfield Preparatory Charter School (District),35100000,3515007.00,84723.00,42.3
Amesbury,00070000,15035285.00,88756.00,169.4
Quabbin,07530000,12548125.00,83990.00,149.4
Cambridge,00490000,82350688.00,107958.00,762.8
Pembroke,02310000,18029966.00,96469.00,186.9
Monson,01910000,6112078.00,69455.00,88.0
Barnstable,00200000,41047381.00,96107.00,427.1
Southampton,02750000,3440710.00,94266.00,36.5
North Reading,02170000,19699425.00,94846.00,207.7
Bridgewater-Raynham,06250000,34944121.00,100270.00,348.5
Hoosac Valley Regional,06030000,6606876.00,71349.00,92.6
Erving,00910000,1214746.00,62616.00,19.4
Norwell,02190000,16976069.00,100868.00,168.3
East Bridgewater,00830000,13262916.00,79466.00,166.9
Lowell,01600000,107909355.00,93138.00,1158.6
Uxbridge,03040000,12221530.00,90262.00,135.4
Stoughton,02850000,30932060.00,96092.00,321.9
Natick,01980000,46071273.00,100680.00,457.6
River Valley Charter (District),04820000,2351707.00,87750.00,25.2
Bristol County Agricultural,09100000,3908732.00,84240.00,46.4
Quaboag Regional,07780000,7717447.00,87499.00,88.2
Nahant,01960000,935748.00,85848.00,10.9
North Middlesex,07350000,19904515.00,83109.00,239.5
Boston Green Academy Horace Mann Charter School (District),04110000,5145357.00,119966.00,42.7
Lexington,01550000,69774605.00,107428.00,649.5
Nantucket,01970000,16381256.00,102575.00,159.7
Petersham,02340000,875941.00,76837.00,11.4
Agawam,00050000,28679589.00,103238.00,277.8
Foxborough Regional Charter (District),04460000,7673004.00,65000.00,117.0
Fall River,00950000,71454104.00,82549.00,865.6
Sunderland,02890000,1720474.00,71986.00,23.9
Essex North Shore Agricultural and Technical School District,08170000,14886938.00,97747.00,152.3
Oak Bluffs,02210000,5340266.00,101141.00,52.8
Nauset,06600000,12793308.00,101454.00,126.1
Berkley,00270000,5809502.00,85059.00,68.3
Codman Academy Charter Public (District),04380000,3664516.00,79754.00,46.2
Argosy Collegiate Charter School (District),35090000,4507633.00,91785.00,47.0
Collegiate Charter School of Lowell (District),35030000,4529802.00,60616.00,81.2
Seekonk,02650000,16173090.00,91219.00,177.3
Grafton,01100000,19565844.00,81934.00,238.8
Mendon-Upton,07100000,14701401.00,91256.00,161.1
Rowe,02530000,668880.00,73503.00,9.1
Boston Day and Evening Academy Charter (District),04240000,4155045.00,163894.00,26.2
Hingham,01310000,32935922.00,107109.00,307.5
KIPP Academy Boston Charter School (District),04630000,4850900.00,96886.00,54.5
Dennis-Yarmouth,06450000,28706195.00,110664.00,259.4
Belmont,00260000,32895557.00,111738.00,294.4
Academy Of the Pacific Rim Charter Public (District),04120000,4585654.00,87517.00,54.6
Waltham,03080000,53812563.00,97434.00,552.3
Greater Commonwealth Virtual District,39010000,6081732.00,81090.00,75.5
Athol-Royalston,06150000,9548255.00,76325.00,125.1
Gardner,01030000,15417611.00,104103.00,148.1
Boxford,00380000,6271011.00,89077.00,70.4
Falmouth,00960000,26497669.00,92617.00,286.1
Pioneer Valley Chinese Immersion Charter (District),04970000,4941356.00,74657.00,65.1
Dedham,00730000,25907062.00,105228.00,246.2
Cape Cod Lighthouse Charter (District),04320000,1828765.00,81329.00,22.5
Weymouth,03360000,43547647.00,94979.00,458.5
Match Charter Public School (District),04690000,9952693.00,84266.00,121.6
Brewster,00410000,4254688.00,91701.00,47.0
Cape Cod Regional Vocational Technical,08150000,6087595.00,94528.00,64.4
Bellingham,00250000,15241357.00,98522.00,154.7
Douglas,00770000,7816806.00,80255.00,97.4
Norfolk,02080000,8354973.00,96255.00,86.8
Abby Kelley Foster Charter Public (District),04450000,10393591.00,83441.00,125.9
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,955684.00,71384.00,15.1
UP Academy Charter School of Dorchester (District),35050000,7125583.00,128389.00,55.5
Hampden Charter School of Science West (District),35160000,2687470.00,71466.00,35.6
Holland,01350000,1694174.00,80675.00,21.0
New Bedford,02010000,91187960.00,88190.00,1034.0
New Heights Charter School of Brockton (District),35130000,4855699.00,104260.00,44.1
Tyngsborough,03010000,11515772.00,90962.00,126.6
Benjamin Franklin Classical Charter Public (District),04470000,6144313.00,111133.00,54.5
Dartmouth,00720000,25734530.00,93106.00,276.4
Canton,00500000,27703558.00,106307.00,260.6
Hatfield,01270000,3451994.00,87392.00,39.5
Peabody,02290000,44530723.00,92811.00,479.8
Richmond,02490000,1921092.00,99025.00,19.4
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,992280.00,58028.00,18.2
Northboro-Southboro,07300000,11101344.00,102790.00,108.0
Leverett,01540000,907725.00,58563.00,15.5
Salem Academy Charter (District),04850000,3804523.00,92376.00,39.7
Medford,01760000,39545304.00,98518.00,401.4
Warwick,03120000,266800.00,51308.00,5.2
South Shore Regional Vocational Technical,08730000,7004862.00,108940.00,64.3
Pathfinder Regional Vocational Technical,08600000,5818285.00,80142.00,72.6
Francis W. Parker Charter Essential (District),04780000,2791527.00,68472.00,41.3
Lowell Middlesex Academy Charter (District),04580000,848073.00,113091.00,6.9
Wilmington,03420000,25167924.00,95988.00,262.2
Pioneer Charter School of Science (District),04940000,6016494.00,82927.00,71.2
Brockton,00440000,101057285.00,105757.00,963.1
Baystate Academy Charter Public School (District),35020000,2698299.00,46147.00,58.0
Hampshire,06830000,5472654.00,78970.00,69.3
Excel Academy Charter (District),04100000,10552689.00,81966.00,130.1
Berkshire Hills,06180000,10675206.00,90621.00,117.8
Worthington,03490000,471379.00,51237.00,9.2
West Springfield,03320000,28502881.00,83026.00,343.3
Ashburnham-Westminster,06100000,13341535.00,80274.00,166.2
Triton,07730000,20811130.00,98538.00,211.2
Hudson,01410000,21526059.00,92228.00,233.4
Gill-Montague,06740000,6753800.00,72002.00,93.8
Freetown-Lakeville,06650000,18072051.00,84056.00,215.0
Central Berkshire,06350000,10390375.00,86371.00,120.3
Duxbury,00820000,22434544.00,96993.00,231.3
Edgartown,00890000,5037733.00,109042.00,46.2
Four Rivers Charter Public (District),04130000,1496174.00,101236.00,17.7
Greater Lowell Regional Vocational Technical,08280000,22166732.00,104314.00,212.5
Dudley-Charlton Reg,06580000,22569593.00,86012.00,262.4
Leicester,01510000,8344828.00,76840.00,108.6
Eastham,00850000,1933908.00,106846.00,18.1
Arlington,00100000,46911926.00,95661.00,490.4
Concord-Carlisle,06400000,13247918.00,126051.00,105.1
Maynard,01740000,10304411.00,88985.00,115.8
Fairhaven,00940000,11264726.00,82224.00,137.0
Monomoy Regional School District,07120000,15181674.00,88886.00,170.8
Wrentham,03500000,7192358.00,90215.00,80.0
Norfolk County Agricultural,09150000,5343345.00,91810.00,58.2
Cohasset,00650000,12916869.00,97046.00,133.1
Millis,01870000,10353881.00,100915.00,102.6
Taunton,02930000,54009360.00,97034.00,556.6
Wayland,03150000,27842977.00,115723.00,240.6
Wakefield,03050000,27240233.00,94881.00,287.1
Carlisle,00510000,7429824.00,123419.00,60.2
Old Sturbridge Academy Charter Public School (District),35150000,1853837.00,66197.00,26.3
Berkshire Arts and Technology Charter Public (District),04140000,2468990.00,64550.00,35.3
Blue Hills Regional Vocational Technical,08060000,8709279.00,106601.00,81.7
Hull,01420000,7990045.00,101140.00,79.0
Easthampton,00860000,8849917.00,75127.00,117.8
Northern Berkshire Regional Vocational Technical,08510000,5286891.00,109233.00,48.4
Bristol-Plymouth Regional Vocational Technical,08100000,11399136.00,109818.00,103.8
Helen Y. Davis Leadership Academy Charter Public (District),04190000,1147041.00,106208.00,13.3
Frontier,06700000,4041181.00,78317.00,51.6
Millbury,01860000,12119958.00,92660.00,130.8
Dighton-Rehoboth,06500000,19048403.00,91054.00,209.2
Leominster,01530000,39024054.00,88631.00,440.3
Martha's Vineyard,07000000,10769407.00,135635.00,79.4
Hampden-Wilbraham,06800000,18607416.00,91843.00,202.6
Shutesbury,02720000,1118209.00,63176.00,17.7
Winchester,03440000,35387846.00,103352.00,342.4
Littleton,01580000,11148018.00,90487.00,123.2
Webster,03160000,12749359.00,89344.00,142.7
Milford,01850000,41674638.00,105452.00,395.2
Lynnfield,01640000,16561631.00,103446.00,160.1
West Bridgewater,03230000,8608470.00,83254.00,103.4
North Attleborough,02120000,28823729.00,95538.00,301.7
Rockport,02520000,7507680.00,91446.00,82.1
Longmeadow,01590000,20554822.00,84103.00,244.4
Northbridge,02140000,13166645.00,88664.00,148.5
Northampton-Smith Vocational Agricultural,04060000,5077778.00,79340.00,64.0
South Shore Charter Public (District),04880000,8024452.00,85070.00,46.4
Alma del Mar Charter School (District),04090000,5249607.00,58329.00,85.4
