DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED
Gardner,01030000,238,87.80,5.50,0.40,0.80,5.50,0.00
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,40,7.50,42.50,0.00,0.00,50.00,0.00
North Andover,02110000,347,96.50,0.90,0.60,0.30,1.70,0.00
Littleton,01580000,126,96.80,1.60,0.00,0.00,1.60,0.00
Westfield,03250000,422,91.70,2.10,0.70,0.00,5.50,0.00
Athol-Royalston,06150000,120,81.70,7.50,0.80,0.00,10.00,0.00
Bourne,00360000,83,90.40,4.80,0.00,0.00,4.80,0.00
Global Learning Charter Public (District),04960000,37,100.00,0.00,0.00,0.00,0.00,0.00
Oxford,02260000,104,95.20,1.90,0.00,0.00,2.90,0.00
Dracut,00790000,216,88.40,4.20,0.00,0.50,6.90,0.00
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,73,12.30,28.80,0.00,0.00,58.90,0.00
Duxbury,00820000,223,98.20,1.30,0.00,0.00,0.40,0.00
Gateway,06720000,37,86.50,10.80,0.00,0.00,2.70,0.00
Shrewsbury,02710000,451,94.50,4.00,0.00,0.00,1.60,0.00
Neighborhood House Charter (District),04440000,68,79.40,4.40,2.90,1.50,11.80,0.00
Hanover,01220000,176,96.60,2.30,0.00,0.60,0.60,0.00
Easton,00880000,299,98.00,1.70,0.00,0.00,0.30,0.00
Spencer-E Brookfield,07670000,75,76.00,5.30,2.70,2.70,12.00,1.30
Old Colony Regional Vocational Technical,08550000,132,99.20,0.00,0.00,0.00,0.80,0.00
Southern Worcester County Regional Vocational School District,08760000,285,98.90,0.70,0.00,0.00,0.40,0.00
Mystic Valley Regional Charter (District),04700000,76,96.10,3.90,0.00,0.00,0.00,0.00
Norwood,02200000,254,96.10,3.50,0.00,0.00,0.40,0.00
East Bridgewater,00830000,124,96.00,2.40,0.00,0.00,1.60,0.00
Northern Berkshire Regional Vocational Technical,08510000,132,97.70,0.00,0.00,0.80,1.50,0.00
Northeast Metropolitan Regional Vocational Technical,08530000,320,98.40,0.30,0.00,0.00,1.20,0.00
West Boylston,03220000,51,100.00,0.00,0.00,0.00,0.00,0.00
Salem Academy Charter (District),04850000,68,95.60,4.40,0.00,0.00,0.00,0.00
Upper Cape Cod Regional Vocational Technical,08790000,183,98.90,0.00,0.00,0.00,1.10,0.00
Mansfield,01670000,245,96.70,1.60,0.00,0.00,1.60,0.00
Cambridge,00490000,532,91.70,5.80,0.00,0.20,2.30,0.00
Wareham,03100000,107,79.40,14.00,0.90,0.00,5.60,0.00
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,82,91.50,1.20,0.00,0.00,6.10,1.20
Amherst-Pelham,06050000,202,92.60,4.50,0.00,0.50,2.50,0.00
Greater Fall River Regional Vocational Technical,08210000,355,98.90,0.00,0.60,0.00,0.60,0.00
Pembroke,02310000,174,95.40,3.40,0.00,0.00,1.10,0.00
Mohawk Trail,07170000,42,88.10,4.80,0.00,2.40,4.80,0.00
Manchester Essex Regional,06980000,116,97.40,0.90,0.00,0.00,1.70,0.00
Tri-County Regional Vocational Technical,08780000,221,100.00,0.00,0.00,0.00,0.00,0.00
Central Berkshire,06350000,121,94.20,2.50,0.00,0.00,3.30,0.00
Southern Berkshire,07650000,40,90.00,5.00,0.00,0.00,5.00,0.00
Norwell,02190000,154,97.40,1.30,0.00,0.60,0.60,0.00
Tewksbury,02950000,182,93.40,2.70,0.50,0.50,2.70,0.00
Narragansett,07200000,88,90.90,3.40,0.00,1.10,4.50,0.00
Saugus,02620000,208,84.10,6.20,0.00,0.50,9.10,0.00
Boston Green Academy Horace Mann Charter School (District),04110000,63,82.50,0.00,0.00,0.00,17.50,0.00
South Shore Charter Public (District),04880000,78,96.20,0.00,0.00,0.00,3.80,0.00
Rockport,02520000,46,91.30,0.00,0.00,2.20,6.50,0.00
North Brookfield,02150000,25,72.00,12.00,0.00,0.00,16.00,0.00
Stoughton,02850000,307,88.60,4.60,0.70,0.00,6.20,0.00
Salem,02580000,256,86.30,7.80,0.00,0.40,5.50,0.00
Ludlow,01610000,203,88.20,3.90,1.50,1.00,5.40,0.00
Monomoy Regional School District,07120000,155,97.40,1.90,0.00,0.00,0.60,0.00
Berkshire Hills,06180000,141,86.50,3.50,0.00,0.70,9.20,0.00
Bedford,00230000,224,98.70,0.00,0.00,0.40,0.90,0.00
Hamilton-Wenham,06750000,113,97.30,2.70,0.00,0.00,0.00,0.00
Uxbridge,03040000,148,87.80,7.40,0.00,1.40,3.40,0.00
Hadley,01170000,42,92.90,4.80,0.00,0.00,2.40,0.00
Dedham,00730000,206,88.80,4.90,0.00,0.50,5.80,0.00
North Attleborough,02120000,315,92.40,3.20,0.00,0.00,4.40,0.00
Match Charter Public School (District),04690000,63,82.50,7.90,0.00,1.60,7.90,0.00
Brockton,00440000,1383,75.40,11.20,1.60,0.10,11.60,0.00
Westborough,03210000,328,95.40,2.70,0.00,0.00,1.80,0.00
Quabbin,07530000,123,83.70,4.90,0.80,0.00,10.60,0.00
Everett,00930000,667,78.00,8.10,0.10,0.30,13.50,0.00
Longmeadow,01590000,233,96.60,3.00,0.00,0.00,0.40,0.00
Ashland,00140000,224,91.50,0.90,2.20,0.40,4.90,0.00
Danvers,00710000,195,92.30,4.60,0.00,0.00,3.10,0.00
Fitchburg,00970000,387,84.80,5.90,0.30,0.30,8.80,0.00
Minuteman Regional Vocational Technical,08300000,177,95.50,0.60,0.00,0.00,4.00,0.00
Whittier Regional Vocational Technical,08850000,310,99.00,0.00,0.00,0.30,0.60,0.00
Dartmouth,00720000,249,92.40,3.20,0.00,0.40,4.00,0.00
Palmer,02270000,78,94.90,3.80,1.30,0.00,0.00,0.00
Burlington,00480000,247,93.50,1.60,0.00,0.00,4.90,0.00
Braintree,00400000,448,95.50,0.70,0.00,0.00,3.80,0.00
Lawrence,01490000,1004,82.20,7.10,0.20,0.10,10.50,0.00
West Springfield,03320000,291,91.40,3.10,0.00,0.70,4.80,0.00
Southbridge,02770000,126,78.60,4.80,2.40,0.00,14.30,0.00
Berlin-Boylston,06200000,60,98.30,0.00,0.00,0.00,1.70,0.00
Easthampton,00860000,101,93.10,2.00,0.00,1.00,4.00,0.00
Sharon,02660000,281,95.70,2.80,0.00,0.40,1.10,0.00
Lexington,01550000,598,98.20,1.80,0.00,0.00,0.00,0.00
Peabody,02290000,399,83.70,8.00,0.30,0.30,7.80,0.00
Wakefield,03050000,221,95.50,1.80,0.00,0.50,2.30,0.00
Assabet Valley Regional Vocational Technical,08010000,274,98.50,0.00,0.00,0.00,1.50,0.00
Somerville,02740000,397,86.10,4.00,0.00,0.30,9.60,0.00
Newton,02070000,1021,95.50,3.00,0.00,0.10,1.40,0.00
Needham,01990000,420,97.90,1.70,0.00,0.00,0.50,0.00
Chelsea,00570000,511,70.10,14.10,0.00,0.40,15.50,0.00
Leominster,01530000,493,90.90,3.20,0.00,0.20,5.70,0.00
