DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS,TOTAL_NUMBER_OF_STAFF,ATTENDANCE_RATE_PERCENTAGE,AVERAGE_NUMBER_OF_ABSENCES,ART_KINDERGARTEN,ART_FIRST_GRADE,ART_SECOND_GRADE,ART_THIRD_GRADE,ART_FOURTH_GRADE,ART_FIFTH_GRADE,ART_SIXTH_GRADE,ART_SEVENTH_GRADE,ART_EIGHTH_GRADE,ART_NINTH_GRADE,ART_TENTH_GRADE,ART_ELEVENTH_GRADE,ART_TWELVETH_GRADE,ART_ALL_GRADES,ELA_AVERAGE_SCALED_SCORE,MATH_AVERAGE_SCALED_SCORE,SCI_AVERAGE_SCALED_SCORE,ELA_E_NUMBER,MATH_E_NUMBER,SCI_E_NUMBER,ELA_E_PERCENTAGE,MATH_E_PERCENTAGE,SCI_E_PERCENTAGE,ELA_M_E_NUMBER,MATH_M_E_NUMBER,SCI_M_E_NUMBER,ELA_M_E_PERCENTAGE,MATH_M_E_PERCENTAGE,SCI_M_E_PERCENTAGE,ELA_M_NUMBER,MATH_M_NUMBER,SCI_M_NUMBER,ELA_M_PERCENTAGE,MATH_M_PERCENTAGE,SCI_M_PERCENTAGE,ELA_N_M_NUMBER,MATH_N_M_NUMBER,SCI_N_M_NUMBER,ELA_N_M_PERCENTAGE,MATH_N_M_PERCENTAGE,SCI_N_M_PERCENTAGE,ELA_PARTICIPATION_RATE_PERCENTAGE,MATH_PARTICIPATION_RATE_PERCENTAGE,SCI_PARTICIPATION_RATE_PERCENTAGE,ELA_P_M_NUMBER,MATH_P_M_NUMBER,SCI_P_M_NUMBER,ELA_P_M_PERCENTAGE,MATH_P_M_PERCENTAGE,SCI_P_M_PERCENTAGE,ELA_SGP,MATH_SGP,ELA_TOTAL_STUDENTS_INCLUDED,MATH_TOTAL_STUDENTS_INCLUDED,SCI_TOTAL_STUDENTS_INCLUDED,ELA_TOTAL_STUDENTS_INCLUDED_IN_SGP,MATH_TOTAL_STUDENTS_INCLUDED_IN_SGP,ART_PARTICIPATION_RATE
Hopkinton,01390000,331,95.8,3.6,0.3,0.0,0.3,0.0,72727145.94,4199.5,17317.87,77969648.42,4257.1,18315.15,31937006.0,109298.0,292.2,95.0,8.8,32.2,9.9,2.2,0.5,620.0,94.6,9.6,263.0,287.0,324.0,314.0,340.0,346.0,355.0,313.0,340.0,234.0,186.0,119.0,138.0,3559.0,511.0,518.0,513.0,351.0,645.0,161.0,18.0,32.0,24.0,1447.0,1570.0,516.0,72.0,79.0,76.0,1096.0,925.0,355.0,55.0,46.0,52.0,102.0,84.0,30.0,5.0,4.0,4.0,99.0,99.0,99.0,451.0,340.0,133.0,23.0,17.0,20.0,52.0,62.0,2000.0,1994.0,679.0,1616.0,1616.0,10.75226586102719
Shawsheen Valley Regional Vocational Technical,08710000,322,98.1,0.0,0.0,0.0,1.9,0.0,38578287.85,1272.1,30326.46,38589799.09,1273.9,30293.12,14944942.0,113305.0,131.9,94.6,9.6,33.4,12.6,3.0,0.0,215.0,93.2,12.4,,,,,,,,,,34.0,26.0,25.0,31.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36024844720496896
Old Rochester,07400000,152,96.1,2.6,0.7,0.0,0.7,0.0,22566902.0,1039.9,21700.1,22889575.0,1063.7,21518.74,8612151.0,96118.0,89.6,93.1,12.3,50.9,21.8,4.0,13.1,180.0,93.7,11.4,,,,,,,,209.0,191.0,117.0,82.0,74.0,85.0,758.0,499.0,497.0,497.0,33.0,21.0,7.0,8.0,5.0,4.0,198.0,167.0,86.0,49.0,42.0,44.0,165.0,146.0,79.0,41.0,37.0,40.0,39.0,38.0,15.0,10.0,10.0,8.0,100.0,100.0,99.0,164.0,195.0,95.0,41.0,49.0,48.0,43.0,39.0,401.0,400.0,196.0,385.0,384.0,4.9868421052631575
Lee,01500000,55,98.2,1.8,0.0,0.0,0.0,0.0,15540914.0,643.4,24154.78,17045831.08,745.9,22851.92,5948983.0,82282.0,72.3,94.3,9.9,37.7,9.7,3.2,9.6,141.0,91.5,15.9,32.0,48.0,47.0,40.0,45.0,45.0,55.0,69.0,50.0,44.0,31.0,26.0,36.0,568.0,492.0,492.0,494.0,15.0,10.0,5.0,5.0,3.0,5.0,105.0,97.0,36.0,35.0,32.0,37.0,90.0,87.0,31.0,30.0,29.0,32.0,50.0,40.0,9.0,17.0,13.0,9.0,98.0,99.0,100.0,148.0,168.0,52.0,49.0,55.0,54.0,50.0,48.0,303.0,305.0,97.0,238.0,240.0,10.327272727272728
Hatfield,01270000,20,90.0,0.0,0.0,0.0,10.0,0.0,8227483.0,332.4,24752.58,9287562.61,412.1,22535.15,3451994.0,87392.0,39.5,93.7,11.2,44.1,14.9,3.5,1.6,59.0,91.6,16.2,25.0,30.0,22.0,23.0,27.0,25.0,29.0,13.0,30.0,10.0,6.0,15.0,12.0,267.0,493.0,490.0,501.0,8.0,5.0,4.0,5.0,3.0,7.0,57.0,45.0,32.0,38.0,30.0,56.0,49.0,40.0,28.0,33.0,27.0,49.0,26.0,27.0,3.0,17.0,18.0,5.0,99.0,99.0,100.0,66.0,77.0,22.0,44.0,52.0,39.0,45.0,46.0,149.0,149.0,57.0,119.0,119.0,13.35
King Philip,06900000,277,95.3,2.2,0.0,0.4,2.2,0.0,39494489.86,1852.9,21315.47,46511548.59,1977.5,23520.95,12962682.0,91869.0,141.1,93.5,11.3,39.9,16.4,5.8,27.0,228.0,89.0,20.9,,,,,,,,353.0,280.0,157.0,129.0,108.0,162.0,1189.0,501.0,499.0,495.0,78.0,58.0,12.0,11.0,8.0,3.0,369.0,340.0,149.0,53.0,49.0,43.0,291.0,282.0,137.0,42.0,41.0,40.0,86.0,87.0,39.0,12.0,13.0,11.0,99.0,98.0,98.0,240.0,265.0,156.0,35.0,38.0,45.0,48.0,41.0,695.0,692.0,344.0,669.0,667.0,4.292418772563177
Greater Lawrence Regional Vocational Technical,08230000,424,99.5,0.0,0.0,0.0,0.5,0.0,53213624.0,1742.7,30534.67,53337423.12,1747.2,30527.41,17216013.0,104339.0,165.0,94.7,9.3,37.5,12.6,2.5,37.5,256.0,91.1,16.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Boston,00350000,4154,81.3,9.5,0.1,0.3,8.8,0.0,1654097163.0,47146.9,35083.89,2043435201.0,60359.9,33854.18,583709620.0,133127.0,4384.6,90.0,17.2,57.0,33.0,12.3,41.3,9718.0,93.5,11.5,3324.0,3401.0,3405.0,3316.0,3224.0,3006.0,2178.0,2461.0,2336.0,1860.0,1566.0,1727.0,1967.0,33771.0,486.0,486.0,482.0,1014.0,1041.0,209.0,6.0,6.0,4.0,5184.0,4925.0,1280.0,29.0,28.0,22.0,4170.0,3884.0,1071.0,24.0,22.0,19.0,5695.0,5832.0,2006.0,32.0,33.0,35.0,98.0,99.0,97.0,6831.0,7035.0,2470.0,39.0,40.0,43.0,49.0,50.0,17710.0,17792.0,5756.0,12618.0,12832.0,8.129754453538759
Wayland,03150000,223,97.3,1.8,0.9,0.0,0.0,0.0,62471792.24,2760.0,22634.48,66445067.8,2809.5,23649.81,27842977.0,115723.0,240.6,95.6,7.9,28.1,7.8,1.2,1.4,514.0,94.7,9.7,166.0,195.0,183.0,210.0,230.0,206.0,200.0,252.0,214.0,151.0,101.0,75.0,96.0,2279.0,511.0,515.0,516.0,219.0,324.0,121.0,17.0,25.0,29.0,953.0,981.0,325.0,73.0,75.0,77.0,734.0,657.0,204.0,56.0,50.0,49.0,51.0,45.0,12.0,4.0,3.0,3.0,99.0,99.0,99.0,307.0,285.0,83.0,23.0,22.0,20.0,56.0,55.0,1311.0,1311.0,420.0,1059.0,1063.0,10.219730941704036
Agawam,00050000,239,92.5,2.5,0.0,0.8,4.2,0.0,73697806.62,3523.0,20918.95,80813510.4,3690.6,21896.84,28679589.0,103238.0,277.8,92.4,13.4,59.5,24.7,4.0,0.2,638.0,93.2,12.5,248.0,238.0,254.0,258.0,249.0,265.0,257.0,217.0,280.0,177.0,114.0,106.0,120.0,2783.0,490.0,491.0,491.0,39.0,55.0,19.0,3.0,4.0,4.0,522.0,501.0,205.0,34.0,33.0,38.0,483.0,446.0,186.0,32.0,29.0,34.0,295.0,258.0,98.0,19.0,17.0,18.0,99.0,99.0,99.0,713.0,773.0,237.0,47.0,50.0,44.0,45.0,48.0,1530.0,1532.0,540.0,1201.0,1216.0,11.644351464435147
Gill-Montague,06740000,49,81.6,4.1,0.0,0.0,14.3,0.0,23704971.2,899.8,26345.85,26964391.73,1127.2,23921.83,6753800.0,72002.0,93.8,92.6,12.7,50.6,22.2,6.4,36.7,203.0,90.0,18.3,71.0,48.0,62.0,80.0,57.0,62.0,67.0,70.0,65.0,47.0,44.0,35.0,25.0,733.0,483.0,484.0,485.0,12.0,7.0,6.0,3.0,2.0,4.0,103.0,92.0,43.0,24.0,22.0,32.0,91.0,85.0,37.0,22.0,20.0,27.0,128.0,114.0,42.0,30.0,27.0,31.0,98.0,97.0,94.0,190.0,214.0,50.0,45.0,51.0,37.0,43.0,46.0,421.0,420.0,135.0,318.0,315.0,14.959183673469388
Baystate Academy Charter Public School (District),35020000,43,86.0,0.0,0.0,0.0,4.7,9.3,9077463.08,398.2,22793.95,9077463.08,398.2,22793.95,2698299.0,46147.0,58.0,90.7,15.9,57.9,32.7,11.7,3.0,92.0,95.1,8.9,,,,,,,60.0,62.0,57.0,47.0,0.0,0.0,0.0,226.0,470.0,472.0,477.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,16.0,6.0,9.0,9.0,12.0,14.0,15.0,6.0,8.0,9.0,12.0,81.0,86.0,17.0,47.0,50.0,33.0,98.0,98.0,98.0,76.0,71.0,28.0,44.0,41.0,55.0,32.0,37.0,172.0,173.0,51.0,159.0,161.0,5.255813953488372
Prospect Hill Academy Charter (District),04870000,59,93.2,1.7,0.0,1.7,3.4,0.0,22919331.81,911.2,25154.01,22919331.81,911.2,25154.01,7513948.0,85572.0,98.2,94.1,10.3,38.5,16.9,3.7,0.7,172.0,94.9,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,68.0,61.0,0.0,1.0,0.0,193.0,487.0,481.0,479.0,17.0,10.0,1.0,4.0,3.0,1.0,110.0,75.0,21.0,28.0,19.0,15.0,93.0,65.0,20.0,23.0,16.0,14.0,104.0,138.0,45.0,26.0,35.0,33.0,100.0,100.0,98.0,183.0,182.0,72.0,46.0,46.0,52.0,52.0,54.0,397.0,395.0,138.0,305.0,305.0,3.2711864406779663
Milford,01850000,369,79.7,4.3,0.3,0.5,15.2,0.0,92973930.52,4431.5,20980.45,105451914.4,4914.4,21457.73,41674638.0,105452.0,395.2,92.3,12.9,46.4,23.1,7.7,32.9,771.0,98.5,2.6,327.0,335.0,344.0,355.0,342.0,326.0,297.0,287.0,316.0,209.0,172.0,131.0,130.0,3571.0,485.0,486.0,487.0,53.0,36.0,30.0,3.0,2.0,5.0,561.0,480.0,206.0,29.0,25.0,31.0,508.0,444.0,176.0,26.0,23.0,27.0,539.0,471.0,162.0,27.0,24.0,25.0,99.0,99.0,99.0,863.0,1005.0,288.0,44.0,51.0,44.0,49.0,52.0,1963.0,1956.0,656.0,1452.0,1457.0,9.677506775067751
Norton,02180000,171,93.0,0.6,0.6,0.6,5.3,0.0,46609733.64,2395.5,19457.11,52378688.11,2496.8,20978.19,18803585.0,98966.0,190.0,93.4,11.7,45.3,18.1,4.1,0.0,367.0,95.3,8.5,147.0,178.0,170.0,179.0,187.0,182.0,153.0,189.0,183.0,104.0,106.0,79.0,76.0,1933.0,494.0,493.0,489.0,45.0,37.0,9.0,4.0,4.0,3.0,405.0,358.0,116.0,38.0,34.0,34.0,360.0,321.0,107.0,34.0,31.0,32.0,152.0,149.0,75.0,14.0,14.0,22.0,97.0,96.0,90.0,498.0,538.0,147.0,47.0,51.0,43.0,47.0,43.0,1055.0,1045.0,338.0,841.0,830.0,11.304093567251462
Marshfield,01710000,324,95.7,2.5,0.0,0.6,1.2,0.0,71490755.8,3668.6,19487.03,76490761.52,3769.2,20293.64,29233798.0,89674.0,326.0,94.7,9.2,35.9,10.4,2.3,18.9,643.0,94.4,10.2,273.0,269.0,273.0,261.0,255.0,276.0,236.0,258.0,302.0,114.0,117.0,98.0,120.0,2852.0,501.0,503.0,500.0,122.0,141.0,47.0,8.0,9.0,8.0,813.0,874.0,286.0,52.0,56.0,50.0,691.0,733.0,239.0,44.0,47.0,42.0,131.0,97.0,39.0,8.0,6.0,7.0,98.0,98.0,98.0,623.0,593.0,245.0,40.0,38.0,43.0,48.0,48.0,1567.0,1564.0,570.0,1278.0,1277.0,8.802469135802468
Walpole,03070000,239,95.8,2.9,0.0,0.0,1.3,0.0,70326751.5,3646.5,19286.16,75906001.44,3739.6,20297.71,27938881.0,91393.0,305.7,95.5,8.0,28.7,7.0,1.5,18.1,556.0,93.6,11.5,260.0,278.0,286.0,291.0,326.0,302.0,298.0,272.0,260.0,163.0,172.0,169.0,196.0,3273.0,503.0,508.0,501.0,177.0,282.0,57.0,10.0,16.0,10.0,980.0,1122.0,293.0,56.0,64.0,51.0,803.0,840.0,236.0,46.0,48.0,41.0,160.0,101.0,41.0,9.0,6.0,7.0,99.0,99.0,99.0,622.0,539.0,236.0,35.0,31.0,41.0,47.0,50.0,1762.0,1762.0,570.0,1406.0,1406.0,13.694560669456067
City on a Hill Charter Public School (District),04370000,43,72.1,0.0,0.0,0.0,25.6,2.3,6638832.22,188.7,35180.08,6638832.22,188.7,35180.08,1386616.0,60782.0,20.5,86.1,24.0,70.5,47.4,29.5,60.3,35.0,89.2,19.1,,,,,,,,,,,,22.0,12.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7906976744186046
Hull,01420000,64,95.3,1.6,0.0,0.0,3.1,0.0,23427233.66,752.3,31138.97,25181180.73,791.3,31820.71,7990045.0,101140.0,79.0,94.3,9.9,42.1,10.8,2.6,23.7,148.0,93.1,12.7,33.0,45.0,46.0,55.0,38.0,51.0,49.0,57.0,45.0,40.0,27.0,28.0,44.0,558.0,503.0,497.0,502.0,38.0,18.0,13.0,13.0,6.0,14.0,164.0,122.0,48.0,56.0,41.0,50.0,126.0,104.0,35.0,43.0,35.0,36.0,23.0,28.0,7.0,8.0,9.0,7.0,98.0,99.0,98.0,107.0,145.0,41.0,36.0,49.0,43.0,50.0,42.0,294.0,295.0,96.0,224.0,226.0,8.71875
Blackstone Valley Regional Vocational Technical,08050000,314,100.0,0.0,0.0,0.0,0.0,0.0,31946056.99,1243.5,25689.86,31964956.99,1247.3,25627.16,10264587.0,95131.0,107.9,95.8,8.0,30.5,6.3,0.8,2.6,183.0,93.6,12.9,,,,,,,,,,98.0,62.0,121.0,209.0,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5605095541401275
Milton,01890000,271,95.9,3.0,0.0,0.0,1.1,0.0,82745697.18,4324.6,19133.62,91948508.57,4404.1,20877.78,34215846.0,100399.0,340.8,96.9,5.5,16.7,4.9,1.1,0.2,580.0,92.4,13.7,365.0,339.0,360.0,376.0,353.0,368.0,317.0,291.0,277.0,224.0,194.0,172.0,155.0,3791.0,506.0,507.0,511.0,278.0,305.0,158.0,13.0,15.0,23.0,1343.0,1271.0,493.0,64.0,60.0,71.0,1065.0,966.0,335.0,51.0,46.0,48.0,168.0,134.0,52.0,8.0,6.0,7.0,99.0,99.0,99.0,590.0,696.0,149.0,28.0,33.0,21.0,54.0,54.0,2101.0,2101.0,694.0,1648.0,1651.0,13.988929889298893
North Adams,02090000,87,83.9,8.0,0.0,0.0,8.0,0.0,31404358.02,1196.0,26257.58,36918668.64,1447.4,25507.55,9584979.0,76435.0,125.4,91.4,14.7,53.3,30.0,8.9,24.7,278.0,92.7,12.6,70.0,76.0,90.0,93.0,89.0,85.0,84.0,53.0,55.0,37.0,34.0,41.0,49.0,856.0,481.0,484.0,482.0,13.0,17.0,4.0,3.0,3.0,3.0,106.0,117.0,34.0,22.0,24.0,22.0,93.0,100.0,30.0,19.0,20.0,20.0,175.0,159.0,55.0,36.0,32.0,36.0,99.0,99.0,97.0,211.0,216.0,63.0,43.0,44.0,41.0,44.0,50.0,492.0,492.0,152.0,357.0,361.0,9.839080459770114
Pathfinder Regional Vocational Technical,08600000,139,94.2,1.4,0.0,0.7,3.6,0.0,17294581.21,631.9,27370.62,17427140.79,647.5,26913.39,5818285.0,80142.0,72.6,93.3,11.9,59.7,15.1,1.9,8.8,125.0,93.9,11.3,,,,,,,,,,0.0,1.0,99.0,102.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4532374100719425
Dudley-Charlton Reg,06580000,212,90.6,3.8,0.5,0.5,4.7,0.0,57966230.0,3478.1,16665.9,62704492.11,3568.4,17572.38,22569593.0,86012.0,262.4,94.4,9.8,38.9,13.2,2.4,23.2,500.0,94.9,9.3,228.0,276.0,207.0,271.0,265.0,271.0,300.0,309.0,287.0,142.0,132.0,102.0,105.0,2895.0,492.0,491.0,493.0,56.0,51.0,19.0,3.0,3.0,3.0,631.0,537.0,222.0,37.0,32.0,40.0,575.0,486.0,203.0,34.0,29.0,36.0,294.0,289.0,88.0,17.0,17.0,16.0,99.0,99.0,99.0,777.0,866.0,249.0,46.0,51.0,45.0,47.0,43.0,1702.0,1692.0,559.0,1368.0,1362.0,13.65566037735849
Plymouth,02390000,627,91.7,1.8,0.0,0.3,6.2,0.0,155139117.8,7011.0,22127.94,174593621.4,7639.4,22854.45,53665127.0,85129.0,630.4,93.9,10.6,41.5,15.7,3.8,27.4,1185.0,94.6,9.7,469.0,506.0,487.0,555.0,514.0,504.0,510.0,503.0,497.0,308.0,239.0,281.0,403.0,5776.0,497.0,494.0,493.0,248.0,131.0,43.0,8.0,4.0,4.0,1455.0,1188.0,402.0,47.0,39.0,40.0,1207.0,1057.0,359.0,39.0,34.0,36.0,432.0,449.0,141.0,14.0,15.0,14.0,99.0,98.0,98.0,1196.0,1434.0,453.0,39.0,47.0,45.0,49.0,45.0,3083.0,3071.0,996.0,2374.0,2376.0,9.212121212121213
Nantucket,01970000,160,90.6,2.5,0.6,0.0,6.2,0.0,48745738.0,1681.2,28994.23,50629867.0,1693.4,29898.35,16381256.0,102575.0,159.7,92.9,12.2,54.4,22.7,3.4,23.7,321.0,94.0,11.2,118.0,116.0,113.0,137.0,117.0,104.0,122.0,126.0,103.0,106.0,117.0,85.0,106.0,1470.0,486.0,488.0,493.0,26.0,13.0,15.0,4.0,2.0,7.0,194.0,172.0,81.0,28.0,25.0,39.0,168.0,159.0,66.0,24.0,23.0,32.0,196.0,138.0,34.0,28.0,20.0,17.0,99.0,99.0,99.0,309.0,387.0,91.0,44.0,56.0,44.0,51.0,53.0,699.0,697.0,206.0,515.0,520.0,9.1875
New Heights Charter School of Brockton (District),35130000,108,96.3,2.8,0.0,0.0,0.9,0.0,15135816.41,731.8,20682.15,15135816.41,731.8,20682.15,4855699.0,104260.0,44.1,93.5,11.4,45.6,21.0,4.2,38.2,85.0,94.8,9.0,,,,,,,108.0,115.0,116.0,0.0,0.0,12.0,39.0,390.0,483.0,484.0,479.0,10.0,1.0,0.0,3.0,0.0,0.0,80.0,60.0,9.0,24.0,18.0,8.0,70.0,59.0,9.0,21.0,17.0,8.0,88.0,82.0,29.0,26.0,24.0,26.0,98.0,99.0,97.0,168.0,197.0,74.0,50.0,58.0,66.0,51.0,49.0,336.0,339.0,112.0,316.0,324.0,3.611111111111111
Swansea,02920000,129,93.0,2.3,0.0,0.8,3.9,0.0,35317690.38,2036.4,17343.1,37846446.38,2106.5,17966.86,13664283.0,90913.0,150.3,93.8,10.4,41.0,15.8,3.2,22.6,280.0,92.9,13.5,141.0,163.0,146.0,173.0,144.0,165.0,153.0,168.0,8.0,69.0,63.0,51.0,90.0,1534.0,494.0,497.0,498.0,41.0,64.0,24.0,4.0,7.0,7.0,406.0,418.0,167.0,42.0,43.0,50.0,365.0,354.0,143.0,37.0,36.0,43.0,163.0,110.0,45.0,17.0,11.0,13.0,99.0,99.0,98.0,408.0,448.0,124.0,42.0,46.0,37.0,46.0,53.0,977.0,976.0,336.0,773.0,773.0,11.891472868217054
Berkshire Arts and Technology Charter Public (District),04140000,30,90.0,3.3,0.0,0.0,6.7,0.0,8149847.65,362.3,22492.27,8149847.65,362.3,22492.27,2468990.0,64550.0,35.3,91.4,15.1,56.9,31.4,12.0,43.1,71.0,91.6,17.5,,,,,,,75.0,71.0,64.0,44.0,39.0,36.0,21.0,350.0,491.0,487.0,496.0,11.0,5.0,4.0,5.0,3.0,6.0,79.0,52.0,25.0,39.0,26.0,37.0,68.0,47.0,21.0,33.0,24.0,31.0,38.0,41.0,6.0,19.0,21.0,9.0,100.0,98.0,100.0,87.0,107.0,36.0,43.0,54.0,54.0,47.0,48.0,204.0,200.0,67.0,187.0,183.0,11.666666666666666
Newburyport,02040000,204,97.1,1.5,0.5,0.0,1.0,0.0,47687263.52,2168.8,21987.91,54141209.96,2330.3,23233.34,19790222.0,92090.0,214.9,94.8,9.3,36.6,8.8,2.0,0.0,400.0,92.1,14.1,108.0,152.0,124.0,141.0,144.0,167.0,155.0,150.0,167.0,132.0,119.0,96.0,62.0,1717.0,502.0,498.0,501.0,85.0,45.0,29.0,9.0,5.0,9.0,513.0,443.0,170.0,55.0,48.0,52.0,428.0,398.0,141.0,46.0,43.0,43.0,76.0,88.0,27.0,8.0,10.0,8.0,99.0,99.0,99.0,336.0,394.0,133.0,36.0,43.0,40.0,54.0,49.0,925.0,925.0,330.0,751.0,747.0,8.416666666666666
Lynnfield,01640000,141,97.9,1.4,0.0,0.0,0.7,0.0,42474881.78,2200.8,19299.75,45814647.78,2238.6,20466.0,16561631.0,103446.0,160.1,95.5,8.0,29.7,6.3,0.9,0.3,361.0,94.9,9.1,167.0,160.0,170.0,182.0,185.0,178.0,180.0,191.0,158.0,117.0,79.0,52.0,68.0,1887.0,506.0,507.0,504.0,132.0,142.0,34.0,12.0,13.0,10.0,669.0,661.0,190.0,63.0,62.0,57.0,537.0,519.0,156.0,51.0,49.0,47.0,72.0,58.0,26.0,7.0,5.0,8.0,99.0,99.0,100.0,322.0,347.0,119.0,30.0,33.0,36.0,51.0,49.0,1063.0,1066.0,335.0,859.0,860.0,13.382978723404255
Codman Academy Charter Public (District),04380000,36,88.9,5.6,0.0,0.0,5.6,0.0,11192024.3,339.9,32927.4,11192024.3,339.9,32927.4,3664516.0,79754.0,46.2,89.6,18.3,67.1,38.0,11.0,48.7,77.0,95.4,8.0,21.0,21.0,22.0,23.0,22.0,20.0,23.0,22.0,20.0,35.0,20.0,2.0,7.0,258.0,477.0,472.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,12.0,5.0,0.0,15.0,7.0,0.0,12.0,5.0,0.0,44.0,61.0,17.0,34.0,47.0,47.0,98.0,99.0,92.0,69.0,61.0,19.0,54.0,47.0,53.0,46.0,33.0,128.0,129.0,36.0,103.0,104.0,7.166666666666667
Franklin County Regional Vocational Technical,08180000,160,93.8,0.0,0.0,0.6,5.6,0.0,16079095.59,596.3,26963.27,16094899.21,599.3,26856.91,4910659.0,90340.0,57.6,94.0,10.5,43.6,13.3,2.6,23.6,86.0,94.5,10.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Falmouth,00960000,210,91.0,2.9,0.0,1.9,4.3,0.0,73278951.0,2907.2,25206.22,79798957.02,3129.7,25496.98,26497669.0,92617.0,286.1,91.8,14.3,59.1,26.7,6.5,41.9,580.0,93.3,12.0,203.0,209.0,213.0,266.0,213.0,234.0,231.0,242.0,224.0,114.0,83.0,73.0,116.0,2421.0,495.0,496.0,495.0,91.0,104.0,24.0,7.0,7.0,5.0,608.0,607.0,193.0,44.0,43.0,43.0,517.0,503.0,169.0,37.0,36.0,38.0,246.0,212.0,67.0,18.0,15.0,15.0,99.0,99.0,96.0,543.0,579.0,189.0,39.0,41.0,42.0,48.0,46.0,1397.0,1398.0,449.0,1073.0,1076.0,11.528571428571428
Winthrop,03460000,160,91.2,3.1,0.0,0.6,5.0,0.0,36004344.43,1963.4,18337.96,39137771.83,2027.0,19308.1,12996770.0,82467.0,157.6,94.7,9.3,37.2,13.1,2.2,25.1,321.0,92.3,14.1,151.0,141.0,154.0,164.0,148.0,162.0,145.0,149.0,153.0,110.0,49.0,63.0,84.0,1673.0,494.0,495.0,495.0,67.0,59.0,16.0,7.0,6.0,5.0,395.0,382.0,131.0,44.0,42.0,42.0,328.0,323.0,115.0,36.0,36.0,37.0,176.0,148.0,45.0,19.0,16.0,14.0,99.0,100.0,100.0,335.0,378.0,136.0,37.0,42.0,44.0,53.0,59.0,906.0,908.0,312.0,686.0,699.0,10.45625
Framingham,01000000,754,74.3,6.9,2.9,0.5,15.4,0.0,217541908.5,9208.8,23623.19,250768560.7,9874.0,25396.8,80559977.0,101833.0,791.1,91.2,14.9,53.6,30.5,11.0,32.2,1437.0,92.8,13.6,728.0,732.0,718.0,700.0,717.0,675.0,707.0,621.0,643.0,500.0,417.0,254.0,241.0,7653.0,480.0,481.0,481.0,139.0,95.0,49.0,4.0,2.0,4.0,978.0,820.0,305.0,25.0,21.0,25.0,839.0,725.0,256.0,22.0,19.0,21.0,1508.0,1410.0,478.0,39.0,37.0,39.0,99.0,99.0,98.0,1370.0,1625.0,458.0,36.0,42.0,37.0,49.0,51.0,3856.0,3855.0,1241.0,2863.0,2886.0,10.149867374005305
Frontier,06700000,97,91.8,3.1,0.0,1.0,4.1,0.0,13174662.91,602.1,21880.99,14986743.58,656.3,22836.25,4041181.0,78317.0,51.6,93.2,12.1,43.0,15.1,4.0,22.3,122.0,94.4,10.3,,,,,,,,82.0,75.0,52.0,29.0,55.0,51.0,344.0,488.0,493.0,496.0,6.0,11.0,9.0,3.0,5.0,8.0,79.0,83.0,50.0,36.0,37.0,42.0,73.0,72.0,41.0,33.0,32.0,35.0,54.0,31.0,14.0,24.0,14.0,12.0,97.0,97.0,98.0,88.0,108.0,54.0,40.0,49.0,46.0,41.0,48.0,221.0,222.0,118.0,210.0,211.0,3.5463917525773194
Nashoba Valley Regional Vocational Technical,08520000,176,97.2,2.3,0.0,0.0,0.6,0.0,18306030.93,760.2,24079.84,18313603.55,761.6,24045.84,6820325.0,101192.0,67.4,95.4,8.0,34.1,4.6,1.2,22.3,117.0,94.0,11.0,,,,,,,,,,95.0,65.0,91.0,79.0,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.875
