2023-24 Teacher Salaries Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
District Name,District Code,Salary Totals,Average Salary,FTE Count
Dover-Sherborn,06550000,"     $12,086,067"," $117,000",    103.3
Dracut,00790000,"     $20,740,093","  $84,757",    244.7
Dudley Street Neighborhood Charter School (District),04070000,"      $2,231,915"," $117,469",     19.0
Dudley-Charlton Reg,06580000,"     $22,569,593","  $86,012",    262.4
Duxbury,00820000,"     $22,434,544","  $96,993",    231.3
East Bridgewater,00830000,"     $13,262,916","  $79,466",    166.9
East Longmeadow,00870000,"     $17,194,359","  $85,672",    200.7
Eastham,00850000,"      $1,933,908"," $106,846",     18.1
Easthampton,00860000,"      $8,849,917","  $75,127",    117.8
Easton,00880000,"     $25,331,001","  $95,625",    264.9
Edgartown,00890000,"      $5,037,733"," $109,042",     46.2
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,"      $4,449,296"," $118,493",     35.6
Erving,00910000,"      $1,214,746","  $62,616",     19.4
Essex North Shore Agricultural and Technical School District,08170000,"     $14,886,938","  $97,747",    152.3
Everett,00930000,"     $65,017,436"," $112,487",    578.0
Excel Academy Charter (District),04100000,"     $10,552,689","  $81,966",    130.1
Fairhaven,00940000,"     $11,264,726","  $82,224",    137.0
Fall River,00950000,"     $71,454,104","  $82,549",    865.6
Falmouth,00960000,"     $26,497,669","  $92,617",    286.1
Farmington River Reg,06620000,"      $1,059,067","  $74,582",     14.2
Fitchburg,00970000,"     $37,922,010","  $84,723",    447.6
Florida,00980000,"        $733,080","  $44,429",     16.5
Four Rivers Charter Public (District),04130000,"      $1,496,174"," $101,236",     17.7
Foxborough,00990000,"     $20,626,169","  $96,519",    213.7
Foxborough Regional Charter (District),04460000,"      $7,673,004","  $65,000",    117.0
Framingham,01000000,"     $80,559,977"," $101,833",    791.1
Francis W. Parker Charter Essential (District),04780000,"      $2,791,527","  $68,472",     41.3
Franklin,01010000,"     $35,291,269","  $92,192",    382.8
Franklin County Regional Vocational Technical,08180000,"      $4,910,659","  $90,340",     57.6
Freetown-Lakeville,06650000,"     $18,072,051","  $84,056",    215.0
Frontier,06700000,"      $4,041,181","  $78,317",     51.6
Gardner,01030000,"     $15,417,611"," $104,103",    148.1
Gateway,06720000,"      $5,875,625","  $73,629",     79.8
Georgetown,01050000,"      $8,913,068"," $126,247",     70.6
Gill-Montague,06740000,"      $6,753,800","  $72,002",     93.8
Global Learning Charter Public (District),04960000,"      $2,834,444","  $68,725",     43.4
Gloucester,01070000,"     $23,151,166","  $86,417",    267.9
Grafton,01100000,"     $19,565,844","  $81,934",    238.8
Granby,01110000,"      $4,105,060","  $70,777",     58.0
Greater Commonwealth Virtual District,39010000,"      $6,081,732","  $81,090",     75.5
Greater Fall River Regional Vocational Technical,08210000,"     $14,116,765","  $98,650",    143.1
Greater Lawrence Regional Vocational Technical,08230000,"     $17,216,013"," $104,339",    165.0
Greater Lowell Regional Vocational Technical,08280000,"     $22,166,732"," $104,314",    212.5
Greater New Bedford Regional Vocational Technical,08250000,"     $18,060,988","  $91,867",    196.6
Greenfield,01140000,"      $9,552,399","  $73,650",    129.7
Groton-Dunstable,06730000,"     $16,847,953","  $91,218",    184.7
Hadley,01170000,"      $4,112,115","  $74,766",     55.0
Halifax,01180000,"      $3,940,116","  $99,498",     39.6
Hamilton-Wenham,06750000,"     $13,868,309","  $93,642",    148.1
Hampden Charter School of Science East (District),04990000,"      $3,733,229","  $86,120",     47.0
Hampden Charter School of Science West (District),35160000,"      $2,687,470","  $71,466",     35.6
Hampden-Wilbraham,06800000,"     $18,607,416","  $91,843",    202.6
Hampshire,06830000,"      $5,472,654","  $78,970",     69.3
Hancock,01210000,"        $463,812","  $59,463",      7.8
Hanover,01220000,"     $20,465,754"," $104,046",    196.7
Harvard,01250000,"      $8,104,795","  $91,787",     88.3
Hatfield,01270000,"      $3,451,994","  $87,392",     39.5
Haverhill,01280000,"     $57,438,522","  $85,921",    668.5
Hawlemont,06850000,"        $877,796","  $97,533",      9.0
Helen Y. Davis Leadership Academy Charter Public (District),04190000,"      $1,147,041"," $106,208",     13.3
Hill View Montessori Charter Public (District),04550000,"      $1,913,259","  $83,185",     22.7
Hilltown Cooperative Charter Public (District),04500000,"      $1,432,893","  $67,877",     21.3
Hingham,01310000,"     $32,935,922"," $107,109",    307.5
Holbrook,01330000,"      $8,385,173","  $82,613",    101.5
Holland,01350000,"      $1,694,174","  $80,675",     21.0
Holliston,01360000,"     $20,062,878","  $94,950",    211.3
Holyoke,01370000,"     $32,811,609","  $78,553",    417.7
Holyoke Community Charter (District),04530000,"      $3,759,590"," $113,583",     35.0
Hoosac Valley Regional,06030000,"      $6,606,876","  $71,349",     92.6
Hopedale,01380000,"      $7,353,889","  $75,040",     98.0
Hopkinton,01390000,"     $31,937,006"," $109,298",    292.2
Hudson,01410000,"     $21,526,059","  $92,228",    233.4
Hull,01420000,"      $7,990,045"," $101,140",     79.0
Innovation Academy Charter (District),04350000,"      $4,886,565","  $68,753",     70.9
Ipswich,01440000,"     $15,756,938","  $97,085",    162.3
KIPP Academy Boston Charter School (District),04630000,"      $4,850,900","  $96,886",     54.5
KIPP Academy Lynn Charter (District),04290000,"     $10,688,100","  $93,799",    116.4
King Philip,06900000,"     $12,962,682","  $91,869",    141.1
Kingston,01450000,"      $5,949,846","  $74,935",     79.4
Lawrence,01490000,"     $97,151,679","  $84,516","  1,149.5"
Lawrence Family Development Charter (District),04540000,"      $4,045,306","  $63,208",     65.0
Learning First Charter Public School (District),04860000,"      $3,649,272"," $112,296",     35.0
Lee,01500000,"      $5,948,983","  $82,282",     72.3
Leicester,01510000,"      $8,344,828","  $76,840",    108.6
Lenox,01520000,"      $6,934,381","  $84,669",     81.9
Leominster,01530000,"     $39,024,054","  $88,631",    440.3
Leverett,01540000,"        $907,725","  $58,563",     15.5
Lexington,01550000,"     $69,774,605"," $107,428",    649.5
Libertas Academy Charter School (District),35140000,"      $3,413,255","  $65,637",     53.1
Lincoln,01570000,"     $11,475,622","  $97,169",    118.1
Lincoln-Sudbury,06950000,"     $15,008,028"," $116,612",    128.7
Littleton,01580000,"     $11,148,018","  $90,487",    123.2
Longmeadow,01590000,"     $20,554,822","  $84,103",    244.4
Lowell,01600000,"    $107,909,355","  $93,138","  1,158.6"
Lowell Community Charter Public (District),04560000,"      $6,046,028","  $86,372",     68.6
Lowell Middlesex Academy Charter (District),04580000,"        $848,073"," $113,091",      6.9
Ludlow,01610000,"     $16,384,497","  $84,196",    194.6
Lunenburg,01620000,"     $11,273,905","  $98,894",    114.0
Lynn,01630000,"    $131,394,358"," $100,141","  1,312.1"
Lynnfield,01640000,"     $16,561,631"," $103,446",    160.1
Malden,01650000,"     $49,513,196"," $106,848",    463.4
Manchester Essex Regional,06980000,"     $12,342,703","  $98,900",    124.8
Mansfield,01670000,"     $29,311,770","  $98,793",    296.7
Map Academy Charter School (District),35170000,"      $1,765,154","  $68,040",     25.1
Marblehead,01680000,"     $22,293,150","  $90,696",    245.8
Marblehead Community Charter Public (District),04640000,"      $1,311,141","  $72,845",     18.0
Marion,01690000,"      $3,296,803"," $100,512",     32.8
Marlborough,01700000,"     $35,783,645","  $87,213",    410.3
Marshfield,01710000,"     $29,233,798","  $89,674",    326.0
Martha's Vineyard,07000000,"     $10,769,407"," $135,635",     79.4
Martha's Vineyard Charter Public School (District),04660000,"      $2,001,768"," $100,682",     21.8
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,"      $2,237,318","  $64,530",     31.0
Masconomet,07050000,"     $14,577,270"," $111,192",    131.1
Mashpee,01720000,"     $11,780,798","  $87,851",    134.1
Match Charter Public School (District),04690000,"      $9,952,693","  $84,266",    121.6
Mattapoisett,01730000,"      $3,913,981"," $106,358",     36.8
Maynard,01740000,"     $10,304,411","  $88,985",    115.8
Medfield,01750000,"     $22,625,967"," $108,310",    208.9
Medford,01760000,"     $39,545,304","  $98,518",    401.4
Medway,01770000,"     $14,517,869","  $90,793",    159.9
Melrose,01780000,"     $24,307,999","  $85,682",    283.7
Mendon-Upton,07100000,"     $14,701,401","  $91,256",    161.1
Methuen,01810000,"     $46,635,301","  $86,154",    541.3
Middleborough,01820000,"     $22,110,568"," $103,514",    213.6
Middleton,01840000,"      $6,257,369","  $90,294",     69.3
Milford,01850000,"     $41,674,638"," $105,452",    395.2
Millbury,01860000,"     $12,119,958","  $92,660",    130.8
Millis,01870000,"     $10,353,881"," $100,915",    102.6
Milton,01890000,"     $34,215,846"," $100,399",    340.8
Minuteman Regional Vocational Technical,08300000,"      $9,190,006"," $111,529",     82.4
Mohawk Trail,07170000,"      $5,944,685","  $86,280",     68.9
Monomoy Regional School District,07120000,"     $15,181,674","  $88,886",    170.8
Monson,01910000,"      $6,112,078","  $69,455",     88.0
Montachusett Regional Vocational Technical,08320000,"     $11,732,457","  $98,675",    118.9
Mount Greylock,07150000,"      $9,281,301","  $83,842",    110.7
Mystic Valley Regional Charter (District),04700000,"      $8,131,031","  $81,359",     98.4
Nahant,01960000,"        $935,748","  $85,848",     10.9
Nantucket,01970000,"     $16,381,256"," $102,575",    159.7
Narragansett,07200000,"      $7,448,926","  $75,777",     98.3
Nashoba,07250000,"     $23,745,657","  $96,175",    246.9
Nashoba Valley Regional Vocational Technical,08520000,"      $6,820,325"," $101,192",     67.4
Natick,01980000,"     $46,071,273"," $100,680",    457.6
Nauset,06600000,"     $12,793,308"," $101,454",    126.1
Needham,01990000,"     $45,784,959"," $101,790",    449.8
Neighborhood House Charter (District),04440000,"      $6,170,400","  $82,233",     77.1
New Bedford,02010000,"     $91,187,960","  $88,190","  1,034.0"
New Heights Charter School of Brockton (District),35130000,"      $4,855,699"," $104,260",     44.1
New Salem-Wendell,07280000,"        $981,326","  $65,422",     15.0
Newburyport,02040000,"     $19,790,222","  $92,090",    214.9
Newton,02070000,"    $110,872,817"," $104,716","  1,058.8"
Norfolk,02080000,"      $8,354,973","  $96,255",     86.8
Norfolk County Agricultural,09150000,"      $5,343,345","  $91,810",     58.2
North Adams,02090000,"      $9,584,979","  $76,435",    125.4
North Andover,02110000,"     $31,786,143","  $94,771",    335.4
North Attleborough,02120000,"     $28,823,729","  $95,538",    301.7
North Brookfield,02150000,"      $2,855,243","  $72,468",     39.4
North Middlesex,07350000,"     $19,904,515","  $83,109",    239.5
North Reading,02170000,"     $19,699,425","  $94,846",    207.7
Northampton,02100000,"     $19,192,742","  $80,036",    239.8
Northampton-Smith Vocational Agricultural,04060000,"      $5,077,778","  $79,340",     64.0
Northboro-Southboro,07300000,"     $11,101,344"," $102,790",    108.0
Northborough,02130000,"     $13,739,511"," $102,381",    134.2
Northbridge,02140000,"     $13,166,645","  $88,664",    148.5
Northeast Metropolitan Regional Vocational Technical,08530000,"     $13,032,243"," $108,331",    120.3
Northern Berkshire Regional Vocational Technical,08510000,"      $5,286,891"," $109,233",     48.4
Norton,02180000,"     $18,803,585","  $98,966",    190.0
Norwell,02190000,"     $16,976,069"," $100,868",    168.3
Norwood,02200000,"     $30,559,111","  $92,324",    331.0
Oak Bluffs,02210000,"      $5,340,266"," $101,141",     52.8
Old Colony Regional Vocational Technical,08550000,"      $5,271,013","  $85,016",     62.0
Old Rochester,07400000,"      $8,612,151","  $96,118",     89.6
Old Sturbridge Academy Charter Public School (District),35150000,"      $1,853,837","  $66,197",     26.3
Orange,02230000,"      $3,559,440","  $84,749",     42.0
Orleans,02240000,"      $2,296,581"," $107,821",     21.3
Oxford,02260000,"      $9,950,581","  $80,053",    124.3
Palmer,02270000,"      $8,236,370","  $80,277",    102.6
Pathfinder Regional Vocational Technical,08600000,"      $5,818,285","  $80,142",     72.6
Peabody,02290000,"     $44,530,723","  $92,811",    479.8
Pelham,02300000,"        $901,847","  $70,457",     12.8
Pembroke,02310000,"     $18,029,966","  $96,469",    186.9
Pentucket,07450000,"     $15,450,261","  $83,787",    184.4
Petersham,02340000,"        $875,941","  $76,837",     11.4
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,"        $992,280","  $58,028",     18.2
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,"      $1,197,596","  $99,750",     12.4
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,"        $955,684","  $71,384",     15.1
Pioneer Charter School of Science (District),04940000,"      $6,016,494","  $82,927",     71.2
Pioneer Charter School of Science II (District),35060000,"      $4,061,852","  $79,925",     49.0
Pioneer Valley,07500000,"      $4,394,007","  $75,628",     58.1
Pioneer Valley Chinese Immersion Charter (District),04970000,"      $4,941,356","  $74,657",     65.1
Pioneer Valley Performing Arts Charter Public (District),04790000,"      $2,519,916","  $60,151",     43.3
Pittsfield,02360000,"     $38,071,003","  $74,111",    513.7
Plainville,02380000,"      $4,730,268","  $91,850",     51.5
Plymouth,02390000,"     $53,665,127","  $85,129",    630.4
Plympton,02400000,"      $1,809,134","  $96,745",     18.7
Prospect Hill Academy Charter (District),04870000,"      $7,513,948","  $85,572",     98.2
Provincetown,02420000,"      $3,111,299"," $164,619",     18.9
Quabbin,07530000,"     $12,548,125","  $83,990",    149.4
Quaboag Regional,07780000,"      $7,717,447","  $87,499",     88.2
Quincy,02430000,"     $72,023,002","  $94,955",    758.5
Ralph C Mahar,07550000,"      $4,530,419","  $77,048",     58.8
Randolph,02440000,"     $23,608,505","  $97,920",    241.1
Reading,02460000,"     $28,709,271","  $96,405",    297.8
Revere,02480000,"     $60,450,028","  $93,765",    644.7
Richmond,02490000,"      $1,921,092","  $99,025",     19.4
Rising Tide Charter Public (District),04830000,"      $3,723,221","  $66,593",     58.1
River Valley Charter (District),04820000,"      $2,351,707","  $87,750",     25.2
Rochester,02500000,"      $3,528,392","  $85,433",     41.3
Rockland,02510000,"     $16,372,914","  $93,399",    175.3
Rockport,02520000,"      $7,507,680","  $91,446",     82.1
Rowe,02530000,"        $668,880","  $73,503",      9.1
Roxbury Preparatory Charter (District),04840000,"      $8,179,301"," $147,596",     48.2
Salem,02580000,"     $34,497,395","  $96,388",    357.9
Salem Academy Charter (District),04850000,"      $3,804,523","  $92,376",     39.7
Sandwich,02610000,"     $16,953,166","  $87,840",    193.0
Saugus,02620000,"     $16,258,884","  $89,778",    181.1
Savoy,02630000,"        $404,028","  $56,905",      7.1
Scituate,02640000,"     $25,492,203"," $107,926",    236.2
Seekonk,02650000,"     $16,173,090","  $91,219",    177.3
Sharon,02660000,"     $28,044,261"," $102,426",    273.8
Shawsheen Valley Regional Vocational Technical,08710000,"     $14,944,942"," $113,305",    131.9
Sherborn,02690000,"      $3,599,347"," $104,937",     34.3
Shrewsbury,02710000,"     $41,651,458","  $95,247",    437.3
Shutesbury,02720000,"      $1,118,209","  $63,176",     17.7
Silver Lake,07600000,"     $13,239,880"," $103,356",    128.1
Sizer School: A North Central Charter Essential (District),04740000,"      $2,058,335","  $62,022",     31.1
Somerset,02730000,"     $12,450,618","  $94,038",    132.4
Somerset Berkley Regional School District,07630000,"      $7,135,577","  $91,835",     77.7
Somerville,02740000,"     $46,160,440"," $104,743",    440.7
South Hadley,02780000,"     $11,943,486","  $78,627",    151.9
South Middlesex Regional Vocational Technical,08290000,"      $8,495,475","  $93,050",     91.3
South Shore Charter Public (District),04880000,"      $8,024,452","  $85,070",     46.4
South Shore Regional Vocational Technical,08730000,"      $7,004,862"," $108,940",     64.3
Southampton,02750000,"      $3,440,710","  $94,266",     36.5
Southborough,02760000,"     $11,024,361"," $100,404",    109.8
Southbridge,02770000,"     $12,962,180","  $75,714",    171.2
Southeastern Regional Vocational Technical,08720000,"     $13,266,845"," $102,844",    129.0
Southern Berkshire,07650000,"      $4,745,271","  $62,030",     76.5
Southern Worcester County Regional Vocational School District,08760000,"     $11,058,544","  $96,161",    115.0
Southwick-Tolland-Granville Regional School District,07660000,"      $9,519,730","  $79,998",    119.0
Spencer-E Brookfield,07670000,"      $8,514,431","  $72,463",    117.5
Springfield,02810000,"    $183,909,650","  $84,692","  2,171.5"
Springfield International Charter (District),04410000,"      $7,439,803","  $86,657",     79.1
Springfield Preparatory Charter School (District),35100000,"      $3,515,007","  $84,723",     42.3
Stoneham,02840000,"     $17,160,952","  $81,293",    211.1
Stoughton,02850000,"     $30,932,060","  $96,092",    321.9
Sturbridge,02870000,"      $6,783,207","  $94,211",     72.0
Sturgis Charter Public (District),04890000,"      $7,598,034","  $86,960",     88.1
Sudbury,02880000,"     $23,115,163"," $102,734",    225.0
Sunderland,02890000,"      $1,720,474","  $71,986",     23.9
Sutton,02900000,"      $8,930,592","  $91,128",     98.0
Swampscott,02910000,"     $17,205,995","  $91,473",    188.1
Swansea,02920000,"     $13,664,283","  $90,913",    150.3
TEC Connections Academy Commonwealth Virtual School District,39020000,"     $10,329,982"," $135,921",    125.5
Tantasqua,07700000,"     $12,501,542","  $83,678",    149.4
Taunton,02930000,"     $54,009,360","  $97,034",    556.6
Tewksbury,02950000,"     $23,703,455","  $93,284",    254.1
Tisbury,02960000,"      $4,355,084"," $109,424",     39.8
Topsfield,02980000,"      $5,607,135"," $102,507",     54.7
Tri-County Regional Vocational Technical,08780000,"      $9,387,938"," $109,289",     85.9
Triton,07730000,"     $20,811,130","  $98,538",    211.2
Truro,03000000,"      $1,332,680","  $82,775",     16.1
Tyngsborough,03010000,"     $11,515,772","  $90,962",    126.6
UP Academy Charter School of Boston (District),04800000,"      $4,241,758"," $132,555",     32.0
UP Academy Charter School of Dorchester (District),35050000,"      $7,125,583"," $128,389",     55.5
Up-Island Regional,07740000,"      $5,553,424"," $104,782",     53.0
Upper Cape Cod Regional Vocational Technical,08790000,"      $7,486,834","  $86,254",     86.8
Uxbridge,03040000,"     $12,221,530","  $90,262",    135.4
Veritas Preparatory Charter School (District),04980000,"      $4,160,111","  $73,138",     64.4
Wachusett,07750000,"     $43,925,799","  $93,919",    467.7
Wakefield,03050000,"     $27,240,233","  $94,881",    287.1
Wales,03060000,"        $703,896","  $65,176",     10.8
Walpole,03070000,"     $27,938,881","  $91,393",    305.7
Waltham,03080000,"     $53,812,563","  $97,434",    552.3
Ware,03090000,"      $6,921,289","  $77,593",     89.2
Wareham,03100000,"     $16,041,240","  $90,119",    178.0
Warwick,03120000,"        $266,800","  $51,308",      5.2
Watertown,03140000,"     $26,633,054"," $100,692",    264.5
Wayland,03150000,"     $27,842,977"," $115,723",    240.6
Webster,03160000,"     $12,749,359","  $89,344",    142.7
Wellesley,03170000,"     $43,047,451"," $109,899",    391.7
Wellfleet,03180000,"      $1,041,655","  $82,671",     12.6
West Boylston,03220000,"      $7,122,331","  $89,252",     79.8
West Bridgewater,03230000,"      $8,608,470","  $83,254",    103.4
West Springfield,03320000,"     $28,502,881","  $83,026",    343.3
Westborough,03210000,"     $31,495,422","  $94,609",    332.9
Westfield,03250000,"     $34,357,523","  $82,215",    417.9
Westford,03260000,"     $33,341,992","  $90,677",    367.7
Westhampton,03270000,"      $1,141,665","  $67,157",     17.0
Weston,03300000,"     $22,150,604"," $127,449",    173.8
Westport,03310000,"     $10,335,657","  $83,017",    124.5
Westwood,03350000,"     $26,946,312"," $113,220",    238.0
Weymouth,03360000,"     $43,547,647","  $94,979",    458.5
Whately,03370000,"        $933,384","  $59,451",     15.7
Whitman-Hanson,07800000,"     $25,818,797"," $101,369",    254.7
Whittier Regional Vocational Technical,08850000,"     $12,172,602","  $98,008",    124.2
Williamsburg,03400000,"      $1,285,297","  $76,506",     16.8
Wilmington,03420000,"     $25,167,924","  $95,988",    262.2
Winchendon,03430000,"      $7,593,599","  $83,722",     90.7
Winchester,03440000,"     $35,387,846"," $103,352",    342.4
Winthrop,03460000,"     $12,996,770","  $82,467",    157.6
Woburn,03470000,"     $38,045,640","  $99,232",    383.4
Worcester,03480000,"    $207,413,094"," $101,529","  2,042.9"
Worthington,03490000,"        $471,379","  $51,237",      9.2
Wrentham,03500000,"      $7,192,358","  $90,215",     80.0
State Totals,00000000,"  $7,065,457,313","  $91,014"," 77,630.3"
