District Name,District Code,Subject,M+E #,M+E percentage,E #,E percentage,M #,M percentage,PM #,PM percentage,NM #,NM percentage,No. of Students Included,Part. Rate percentage,Avg. Scaled Score,SGP,Included In SGP
Ashland,00140000,MATH,         746,55,         216,16,         530,39,         451,33,         154,11,"       1,351",99,     504,          57,"       1,061"
Ashland,00140000,SCI,         226,55,          56,14,         170,41,         136,33,          48,12,         410,98,     502,,
Athol-Royalston,06150000,ELA,         150,20,           9,1,         141,19,         323,44,         259,35,         732,97,     480,          42,         530
Athol-Royalston,06150000,MATH,         149,21,          10,1,         139,19,         350,48,         226,31,         725,96,     482,          44,         527
Athol-Royalston,06150000,SCI,          34,16,           1,0,          33,15,         105,48,          80,37,         219,91,     479,,
Atlantis Charter (District),04910000,ELA,         177,27,          23,4,         154,24,         327,50,         149,23,         653,100,     487,          48,         530
Atlantis Charter (District),04910000,MATH,         161,25,          15,2,         146,22,         323,50,         168,26,         652,100,     485,          45,         529
Atlantis Charter (District),04910000,SCI,          35,16,           5,2,          30,14,         110,51,          71,33,         216,100,     481,,
Attleboro,00160000,ELA,         958,37,         114,4,         844,33,"       1,144",44,         491,19,"       2,593",99,     492,          50,"       1,994"
Attleboro,00160000,MATH,"       1,009",39,         148,6,         861,33,"       1,137",44,         451,17,"       2,597",100,     494,          52,"       1,999"
Attleboro,00160000,SCI,         338,38,          41,5,         297,34,         375,43,         168,19,         881,99,     492,,
Auburn,00170000,ELA,         515,45,          82,7,         433,38,         455,40,         177,15,"       1,147",97,     496,          49,         914
Auburn,00170000,MATH,         465,40,          70,6,         395,34,         540,47,         151,13,"       1,156",98,     496,          48,         929
Auburn,00170000,SCI,         197,47,          32,8,         165,40,         161,39,          59,14,         417,98,     497,,
Avon,00180000,ELA,         107,32,          14,4,          93,28,         145,44,          80,24,         332,99,     488,          43,         262
Avon,00180000,MATH,          93,28,          12,4,          81,24,         157,47,          84,25,         334,98,     487,          41,         266
Avon,00180000,SCI,          29,26,           3,3,          26,23,          56,50,          27,24,         112,99,     486,,
Ayer Shirley School District,06160000,ELA,         327,41,          41,5,         286,35,         365,45,         114,14,         806,98,     495,          48,         612
Ayer Shirley School District,06160000,MATH,         310,39,          25,3,         285,36,         372,46,         119,15,         801,98,     493,          49,         611
Ayer Shirley School District,06160000,SCI,         144,53,          19,7,         125,46,          89,33,          37,14,         270,96,     498,,
Barnstable,00200000,ELA,         560,28,          34,2,         526,26,         887,45,         540,27,"       1,987",98,     485,          40,"       1,452"
Barnstable,00200000,MATH,         538,27,          52,3,         486,24,         962,48,         493,25,"       1,993",99,     487,          42,"       1,472"
Barnstable,00200000,SCI,         178,28,          13,2,         165,26,         281,44,         174,27,         633,98,     485,,
Baystate Academy Charter Public School (District),35020000,ELA,          15,9,           1,1,          14,8,          76,44,          81,47,         172,98,     470,          32,         159
Baystate Academy Charter Public School (District),35020000,MATH,          16,9,           1,1,          15,9,          71,41,          86,50,         173,98,     472,          37,         161
Baystate Academy Charter Public School (District),35020000,SCI,           6,12,           0,0,           6,12,          28,55,          17,33,          51,98,     477,,
Bedford,00230000,ELA,         770,69,         254,23,         516,46,         261,23,          92,8,"       1,123",98,     511,          58,         930
Bedford,00230000,MATH,         751,66,         251,22,         500,44,         273,24,         106,9,"       1,130",98,     511,          51,         940
Bedford,00230000,SCI,         262,70,          89,24,         173,46,          78,21,          36,10,         376,99,     511,,
Belchertown,00240000,ELA,         443,46,          68,7,         375,39,         406,42,         115,12,         964,96,     498,          53,         756
Belchertown,00240000,MATH,         325,34,          21,2,         304,31,         482,50,         159,16,         966,96,     492,          49,         761
