2024 Per Pupil Expenditure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil
Auburn,00170000,"          $43,762,369.67","           2,487.8","              $17,590.48","          $45,098,538.21","           2,536.2","              $17,782.16"
Avon,00180000,"          $15,005,320.00",             737.4,"              $20,350.34","          $16,139,567.00",             771.4,"              $20,921.17"
Ayer Shirley School District,06160000,"          $31,930,215.21","           1,703.9","              $18,739.49","          $36,220,909.64","           1,905.0","              $19,013.92"
Barnstable,00200000,"         $110,726,896.20","           4,805.1","              $23,043.70","         $124,892,852.20","           5,474.4","              $22,813.89"
Baystate Academy Charter Public School (District),35020000,"           $9,077,463.08",             398.2,"              $22,793.95","           $9,077,463.08",             398.2,"              $22,793.95"
Bedford,00230000,"          $59,145,395.00","           2,561.1","              $23,093.55","          $66,387,166.34","           2,612.6","              $25,410.18"
Belchertown,00240000,"          $36,985,235.11","           2,067.8","              $17,886.42","          $40,404,666.93","           2,265.0","              $17,838.71"
Bellingham,00250000,"          $41,854,655.05","           2,018.6","              $20,734.72","          $50,681,157.32","           2,350.9","              $21,558.48"
Belmont,00260000,"          $80,736,654.00","           4,420.1","              $18,265.66","          $95,396,137.24","           4,574.8","              $20,852.48"
Benjamin Banneker Charter Public (District),04200000,"           $7,523,015.23",             343.7,"              $21,888.96","           $7,523,015.23",             343.7,"              $21,888.96"
Benjamin Franklin Classical Charter Public (District),04470000,"          $15,980,544.00",             886.3,"              $18,030.22","          $15,980,544.00",             886.3,"              $18,030.22"
Berkley,00270000,"          $13,565,369.00",             845.0,"              $16,054.32","          $13,927,700.03",             861.9,"              $16,159.86"
Berkshire Arts and Technology Charter Public (District),04140000,"           $8,149,847.65",             362.3,"              $22,492.27","           $8,149,847.65",             362.3,"              $22,492.27"
Berkshire Hills,06180000,"          $35,532,031.15","           1,174.4","              $30,255.48","          $39,357,790.27","           1,291.3","              $30,479.20"
Berlin-Boylston,06200000,"          $21,750,000.00","           1,096.7","              $19,832.32","          $24,479,577.03","           1,166.3","              $20,989.43"
Beverly,00300000,"          $84,199,902.00","           4,528.2","              $18,594.61","          $94,776,730.31","           4,712.3","              $20,112.43"
