2024 Per Pupil Expenditure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil
Reading,02460000,"          $72,904,178.18","           3,842.4","              $18,973.80","          $79,157,531.40","           3,933.5","              $20,123.77"
Revere,02480000,"         $149,684,383.90","           7,365.1","              $20,323.58","         $181,218,368.70","           8,175.8","              $22,165.30"
Richmond,02490000,"           $4,195,816.18",             157.6,"              $26,630.71","           $5,087,118.36",             210.1,"              $24,217.33"
Rising Tide Charter Public (District),04830000,"          $11,065,680.00",             617.2,"              $17,929.13","          $11,065,680.00",             617.2,"              $17,929.13"
River Valley Charter (District),04820000,"           $5,196,054.78",             287.5,"              $18,072.61","           $5,196,054.78",             287.5,"              $18,072.61"
Rochester,02500000,"           $8,423,213.00",             483.4,"              $17,426.54","           $9,036,552.36",             498.9,"              $18,113.44"
Rockland,02510000,"          $45,236,282.53","           2,138.6","              $21,152.56","          $51,583,097.81","           2,300.6","              $22,421.14"
Rockport,02520000,"          $18,695,879.04",             662.2,"              $28,231.56","          $21,813,768.75",             723.5,"              $30,151.82"
Rowe,02530000,"           $2,055,383.48",              59.9,"              $34,297.68","           $2,729,573.92",              85.9,"              $31,765.09"
Roxbury Preparatory Charter (District),04840000,"          $32,251,621.97","           1,105.4","              $29,176.43","          $32,251,621.97","           1,105.4","              $29,176.43"
Salem,02580000,"          $99,204,878.31","           3,841.6","              $25,823.55","         $115,424,337.90","           4,489.0","              $25,712.55"
Salem Academy Charter (District),04850000,"          $10,049,622.86",             483.3,"              $20,793.33","          $10,049,622.86",             483.3,"              $20,793.33"
Sandwich,02610000,"          $56,041,877.00","           2,119.2","              $26,445.17","          $63,821,526.89","           2,392.2","              $26,678.89"
Saugus,02620000,"          $46,373,943.22","           2,671.8","              $17,356.85","          $57,204,356.55","           3,084.2","              $18,547.35"
Savoy,02630000,"           $1,086,195.32",              47.0,"              $23,099.62","           $1,328,009.12",              62.5,"              $21,255.70"
Scituate,02640000,"          $56,069,349.24","           2,743.8","              $20,434.59","          $60,093,697.66","           2,794.0","              $21,508.37"
Seekonk,02650000,"          $38,476,325.80","           2,059.8","              $18,679.84","          $42,888,870.29","           2,118.5","              $20,244.86"
Sharon,02660000,"          $73,300,915.13","           3,568.5","              $20,541.26","          $80,118,141.94","           3,648.6","              $21,958.86"
Shawsheen Valley Regional Vocational Technical,08710000,"          $38,578,287.85","           1,272.1","              $30,326.46","          $38,589,799.09","           1,273.9","              $30,293.12"
