District Name,District Code,K,01,02,03,04,05,06,07,08,09,10,11,12,All Grades,Total Students
Braintree,00400000,     317,     331,     383,     424,     396,     373,     428,     393,     393,     215,     259,     216,     201,"   4,329","       5,134"
Brewster,00410000,      65,      65,      69,      75,      59,      67,,,,,,,,     400,         400
Bridge Boston Charter School (District),04170000,       0,       0,      40,       0,       0,      36,      25,      27,      20,,,,,     148,         301
Bridgewater-Raynham,06250000,     411,     447,     450,     485,     458,     452,     468,     466,     449,     158,      48,      95,     163,"   4,550","       5,592"
Brimfield,00430000,       0,      39,      32,      34,      26,      44,      33,,,,,,,     208,         226
Bristol County Agricultural,09100000,,,,,,,,,,       0,       0,       0,       0,       0,         635
Bristol-Plymouth Regional Vocational Technical,08100000,,,,,,,,,,     176,      22,      19,      24,     241,"       1,334"
Brockton,00440000,"   1,280","   1,222","   1,208","   1,299","   1,202","   1,068","   1,009","   1,134","   1,192",     683,     471,     505,     633,"  12,906","      14,948"
Brooke Charter School (District),04280000,     191,     191,     195,     191,     196,     193,     190,     179,     182,       0,      81,      11,      99,"   1,899","       2,205"
Brookfield,00450000,       0,      37,      38,      40,      41,      38,      36,,,,,,,     230,         270
Brookline,00460000,     483,     483,     533,     512,     553,     524,     508,     516,     471,     415,     437,     240,     223,"   5,898","       6,770"
Burlington,00480000,       0,     288,     273,     302,     284,     276,     272,     282,     291,      92,      85,      67,     105,"   2,617","       3,480"
Cambridge,00490000,     555,     573,     545,     531,     531,     478,     440,     447,     414,     321,     275,     252,     263,"   5,625","       6,621"
Canton,00500000,     243,     227,     254,     257,     264,     251,     227,     218,     233,     224,     181,     160,     164,"   2,903","       3,189"
Cape Cod Lighthouse Charter (District),04320000,,,,,,,      84,      80,      84,,,,,     248,         251
Cape Cod Regional Vocational Technical,08150000,,,,,,,,,,      43,      28,       6,       7,      84,         683
Carlisle,00510000,      58,      75,      61,      80,      63,      58,      74,      60,      75,,,,,     604,         605
Carver,00520000,       0,      99,     130,     144,     104,     125,     108,      87,     129,      64,      52,      41,      62,"   1,145","       1,415"
Central Berkshire,06350000,      91,     110,     121,     115,     106,     134,     108,     125,     123,      60,      49,      42,      42,"   1,226","       1,482"
Chelmsford,00560000,     372,     394,     376,     392,     427,     346,     359,     403,     404,     251,     234,     219,     236,"   4,413","       4,960"
Chelsea,00570000,     454,     446,     467,     496,     460,     408,     429,     439,     408,     354,     278,     223,     219,"   5,081","       5,890"
Chesterfield-Goshen,06320000,      11,      14,      15,      23,      13,      16,      15,,,,,,,     107,         107
Chicopee,00610000,     454,     442,     389,     435,     488,     524,     383,     222,     248,     280,     338,     304,     365,"   4,872","       6,467"
Christa McAuliffe Charter School (District),04180000,,,,,,,      64,      93,      77,,,,,     234,         280
City on a Hill Charter Public School (District),04370000,,,,,,,,,,,,      22,      12,      34,          68
Clarksburg,00630000,      12,      19,      20,      22,      23,      19,      22,      29,      18,,,,,     184,         184
Clinton,00640000,     165,     143,     134,     146,     152,     150,     158,     142,     137,      41,      28,      47,      48,"   1,491","       1,887"
Codman Academy Charter Public (District),04380000,      21,      21,      22,      23,      22,      20,      23,      22,      20,      35,      20,       2,       7,     258,         314
Cohasset,00650000,     105,     106,     121,     125,     114,     105,     106,      89,     102,      76,      85,      98,      93,"   1,325","       1,359"
Collegiate Charter School of Lowell (District),35030000,      77,      97,     113,     120,      90,     100,     112,     112,     107,      61,       0,      35,      40,"   1,064","       1,209"
Community Charter School of Cambridge (District),04360000,,,,,,,      24,      53,      43,      21,       3,       2,      15,     161,         249
Community Day Charter Public School (District),04400000,       0,       0,       0,       0,       0,       0,       0,       0,       0,,,,,       0,"       1,079"
Concord,00670000,     186,     202,     196,     207,     213,     218,     217,     219,     205,,,,,"   1,863","       1,872"
Concord-Carlisle,06400000,,,,,,,,,,     201,     129,     107,     178,     615,"       1,195"
Conservatory Lab Charter (District),04390000,      46,      52,      53,      52,      57,      51,      43,      25,      25,,,,,     404,         405
Conway,00680000,      25,      16,      15,      18,      18,      25,      20,,,,,,,     137,         137
Danvers,00710000,     224,     265,     269,     254,     308,     266,     269,     224,     256,     129,     158,     130,     132,"   2,884","       3,127"
Dartmouth,00720000,     195,     238,     242,     268,     254,     281,     269,     228,     207,     159,     161,     142,     151,"   2,795","       3,164"
Dedham,00730000,     201,     217,     221,     218,     224,     219,     195,     185,     189,      86,      94,      93,     106,"   2,248","       2,591"
Deerfield,00740000,      33,      35,      38,      38,      33,      59,      39,,,,,,,     275,         275
Dennis-Yarmouth,06450000,     211,     242,     270,     226,     240,     262,     269,     227,     227,     149,     134,     151,     136,"   2,744","       2,961"
Dighton-Rehoboth,06500000,     193,     213,     195,     197,     227,     192,     213,     207,     213,      86,      72,     112,     127,"   2,247","       2,467"
Douglas,00770000,      87,      73,      79,      84,      72,     100,      91,      85,     108,      25,      32,      31,      33,     900,"       1,047"
Dover,00780000,      59,      64,      84,      92,      68,      99,,,,,,,,     466,         466
Dover-Sherborn,06550000,,,,,,,     164,     141,     168,     134,     117,     113,     101,     938,"       1,085"
Dracut,00790000,     247,     266,     292,     300,     317,     302,     303,     322,     277,      92,      54,      88,      74,"   2,934","       3,465"
Dudley Street Neighborhood Charter School (District),04070000,       0,       0,       0,       0,       0,       0,,,,,,,,       0,         247
Dudley-Charlton Reg,06580000,     228,     276,     207,     271,     265,     271,     300,     309,     287,     142,     132,     102,     105,"   2,895","       3,365"
Duxbury,00820000,     202,     190,     218,     199,     225,     197,     197,     189,     172,     148,      96,      79,     144,"   2,256","       2,637"
