District Name,District Code,Group,#,Attendance Rate Percentage,Average # of Absences
Lawrence Family Development Charter (District),04540000,All Staff,     150,96.8,5.6
Lawrence Family Development Charter (District),04540000,Administrators,      16,97.1,5.8
Lawrence Family Development Charter (District),04540000,Teachers,      73,96.5,5.8
Learning First Charter Public School (District),04860000,All Staff,     108,93.6,11.8
Learning First Charter Public School (District),04860000,Administrators,      17,94.3,11.9
Learning First Charter Public School (District),04860000,Teachers,      40,94.7,9.6
Lee,01500000,All Staff,     141,91.5,15.9
Lee,01500000,Administrators,       6,97.2,6.5
Lee,01500000,Teachers,      69,92.9,13.2
Leicester,01510000,All Staff,     259,91.4,15.4
Leicester,01510000,Administrators,      16,94.9,11.4
Leicester,01510000,Teachers,     116,91.1,15.8
Lenox,01520000,All Staff,     153,93.6,11.7
Lenox,01520000,Administrators,      10,96.4,8.4
Lenox,01520000,Teachers,      91,93.9,11.0
Leominster,01530000,All Staff,     984,93.8,10.8
Leominster,01530000,Administrators,      41,95.6,7.8
Leominster,01530000,Teachers,     484,94.0,10.7
Leverett,01540000,All Staff,      47,93.2,11.7
Leverett,01540000,Administrators,       6,90.7,21.8
Leverett,01540000,Teachers,      19,93.7,9.7
Lexington,01550000,All Staff,"   1,398",92.1,14.3
Lexington,01550000,Administrators,      74,93.0,13.9
Lexington,01550000,Teachers,     685,91.8,14.9
Libertas Academy Charter School (District),35140000,All Staff,     117,96.8,5.9
Libertas Academy Charter School (District),35140000,Administrators,      13,95.4,9.3
Libertas Academy Charter School (District),35140000,Teachers,      83,97.2,5.2
Lincoln,01570000,All Staff,     273,93.5,11.4
Lincoln,01570000,Administrators,      13,96.9,6.9
Lincoln,01570000,Teachers,     126,93.6,11.7
Lincoln-Sudbury,06950000,All Staff,     239,93.7,12.2
Lincoln-Sudbury,06950000,Administrators,      26,95.7,9.6
Lincoln-Sudbury,06950000,Teachers,     145,93.6,12.1
Littleton,01580000,All Staff,     257,91.6,15.1
Littleton,01580000,Administrators,      16,95.4,10.9
Littleton,01580000,Teachers,     138,91.5,15.5
Longmeadow,01590000,All Staff,     450,93.4,12.3
Longmeadow,01590000,Administrators,      21,95.0,13.1
Longmeadow,01590000,Teachers,     250,93.5,12.0
Lowell,01600000,All Staff,"   2,591",93.4,11.8
Lowell,01600000,Administrators,     177,95.1,9.4
Lowell,01600000,Teachers,"   1,196",92.7,13.2
Lowell Community Charter Public (District),04560000,All Staff,     148,96.2,6.4
Lowell Community Charter Public (District),04560000,Administrators,      11,95.2,8.5
Lowell Community Charter Public (District),04560000,Teachers,      76,96.4,6.1
Lowell Middlesex Academy Charter (District),04580000,All Staff,      16,93.1,12.4
Lowell Middlesex Academy Charter (District),04580000,Administrators,       4,-,-
Lowell Middlesex Academy Charter (District),04580000,Teachers,       9,92.3,13.8
Ludlow,01610000,All Staff,     406,91.9,14.6
Ludlow,01610000,Administrators,      21,94.0,12.9
Ludlow,01610000,Teachers,     204,91.6,15.2
Lunenburg,01620000,All Staff,     264,93.7,11.7
Lunenburg,01620000,Administrators,      19,96.5,7.7
Lunenburg,01620000,Teachers,     116,92.6,13.6
Lynn,01630000,All Staff,"   2,651",90.6,17.3
Lynn,01630000,Administrators,     198,92.5,17.0
Lynn,01630000,Teachers,"   1,463",90.7,16.6
Lynnfield,01640000,All Staff,     361,94.9,9.1
Lynnfield,01640000,Administrators,      29,97.6,5.1
Lynnfield,01640000,Teachers,     182,94.0,11.0
Ma Academy for Math and Science,04680000,All Staff,      10,98.3,3.4
Ma Academy for Math and Science,04680000,Administrators,       1,-,-
Ma Academy for Math and Science,04680000,Teachers,       6,98.0,3.8
Malden,01650000,All Staff,     901,91.9,14.5
Malden,01650000,Administrators,      48,95.4,9.6
Malden,01650000,Teachers,     484,91.3,15.7
Manchester Essex Regional,06980000,All Staff,     222,96.3,7.0
Manchester Essex Regional,06980000,Administrators,      11,97.7,5.4
Manchester Essex Regional,06980000,Teachers,     129,96.1,7.3
Mansfield,01670000,All Staff,     526,93.7,11.7
Mansfield,01670000,Administrators,      35,94.5,11.8
Mansfield,01670000,Teachers,     293,93.7,11.4
Map Academy Charter School (District),35170000,All Staff,      34,96.7,6.4
Map Academy Charter School (District),35170000,Administrators,       2,-,-
Map Academy Charter School (District),35170000,Teachers,      26,96.4,7.1
Marblehead,01680000,All Staff,     486,91.4,15.3
Marblehead,01680000,Administrators,      28,90.3,18.2
Marblehead,01680000,Teachers,     241,91.3,15.8
Marblehead Community Charter Public (District),04640000,All Staff,      32,96.7,6.0
Marblehead Community Charter Public (District),04640000,Administrators,       4,-,-
Marblehead Community Charter Public (District),04640000,Teachers,      17,95.9,7.5
Marion,01690000,All Staff,      96,92.5,13.5
Marion,01690000,Administrators,       8,94.6,13.3
Marion,01690000,Teachers,      37,92.3,13.3
Marlborough,01700000,All Staff,     811,93.3,12.1
Marlborough,01700000,Administrators,      48,94.4,12.1
Marlborough,01700000,Teachers,     412,93.5,11.7
Marshfield,01710000,All Staff,     643,94.4,10.2
Marshfield,01710000,Administrators,      45,97.0,6.7
Marshfield,01710000,Teachers,     339,94.3,10.3
Martha's Vineyard,07000000,All Staff,     143,92.4,14.0
Martha's Vineyard,07000000,Administrators,      11,92.4,16.8
Martha's Vineyard,07000000,Teachers,      91,92.7,12.7
Martha's Vineyard Charter Public School (District),04660000,All Staff,      42,94.4,9.3
Martha's Vineyard Charter Public School (District),04660000,Administrators,       5,-,-
Martha's Vineyard Charter Public School (District),04660000,Teachers,      24,94.1,10.3
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,All Staff,      78,92.1,14.8
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,Administrators,       7,95.0,10.6
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,Teachers,      37,90.8,16.9
Masconomet,07050000,All Staff,     242,92.5,13.7
Masconomet,07050000,Administrators,      24,96.1,7.6
Masconomet,07050000,Teachers,     132,92.7,13.3
Mashpee,01720000,All Staff,     250,93.9,11.1
Mashpee,01720000,Administrators,      24,95.3,9.5
Mashpee,01720000,Teachers,     146,93.7,11.3
Match Charter Public School (District),04690000,All Staff,     295,95.5,8.3
Match Charter Public School (District),04690000,Administrators,      79,95.9,8.1
Match Charter Public School (District),04690000,Teachers,     127,95.8,7.7
Mattapoisett,01730000,All Staff,     101,94.5,10.1
Mattapoisett,01730000,Administrators,       8,95.7,10.8
Mattapoisett,01730000,Teachers,      40,92.9,12.5
Maynard,01740000,All Staff,     234,91.0,17.0
Maynard,01740000,Administrators,      16,90.1,23.4
Maynard,01740000,Teachers,     119,92.8,13.1
Medfield,01750000,All Staff,     412,94.8,9.3
Medfield,01750000,Administrators,      32,97.9,4.3
Medfield,01750000,Teachers,     216,94.1,10.6
Medford,01760000,All Staff,     717,100.0,0.0
Medford,01760000,Administrators,      45,100.0,0.0
Medford,01760000,Teachers,     428,100.0,0.0
Medway,01770000,All Staff,     331,94.3,10.5
Medway,01770000,Administrators,      20,97.2,6.7
Medway,01770000,Teachers,     168,93.8,11.2
Melrose,01780000,All Staff,     538,94.7,9.6
Melrose,01780000,Administrators,      35,96.0,8.4
Melrose,01780000,Teachers,     294,94.6,10.0
Mendon-Upton,07100000,All Staff,     335,93.2,11.9
Mendon-Upton,07100000,Administrators,      15,94.7,11.5
Mendon-Upton,07100000,Teachers,     171,93.0,12.6
Methuen,01810000,All Staff,     920,94.5,10.1
Methuen,01810000,Administrators,      53,96.4,8.3
Methuen,01810000,Teachers,     532,94.1,10.7
Middleborough,01820000,All Staff,     374,90.7,16.8
Middleborough,01820000,Administrators,      23,90.0,20.3
Middleborough,01820000,Teachers,     230,90.5,16.8
Middleton,01840000,All Staff,     177,98.5,2.6
Middleton,01840000,Administrators,      16,98.8,2.6
Middleton,01840000,Teachers,      75,97.4,4.7
Milford,01850000,All Staff,     771,98.5,2.6
Milford,01850000,Administrators,      50,92.6,16.4
Milford,01850000,Teachers,     406,99.3,1.3
Millbury,01860000,All Staff,     308,94.0,10.4
Millbury,01860000,Administrators,      18,94.7,9.3
Millbury,01860000,Teachers,     137,94.7,9.5
Millis,01870000,All Staff,     181,93.4,12.4
Millis,01870000,Administrators,      10,95.4,10.8
Millis,01870000,Teachers,      98,93.2,12.4
Milton,01890000,All Staff,     580,92.4,13.7
Milton,01890000,Administrators,      46,95.1,8.7
Milton,01890000,Teachers,     347,92.1,14.4
Minuteman Regional Vocational Technical,08300000,All Staff,     134,94.2,10.8
Minuteman Regional Vocational Technical,08300000,Administrators,      11,94.3,12.8
Minuteman Regional Vocational Technical,08300000,Teachers,      80,94.2,10.6
Mohawk Trail,07170000,All Staff,     232,95.6,7.7
Mohawk Trail,07170000,Administrators,      13,99.7,0.6
Mohawk Trail,07170000,Teachers,      88,97.0,5.3
Monomoy Regional School District,07120000,All Staff,     353,94.5,9.8
Monomoy Regional School District,07120000,Administrators,      24,97.6,4.8
Monomoy Regional School District,07120000,Teachers,     178,94.5,9.9
Monson,01910000,All Staff,     169,92.7,12.3
Monson,01910000,Administrators,      10,88.0,20.4
Monson,01910000,Teachers,      79,94.2,10.1
Montachusett Regional Vocational Technical,08320000,All Staff,     198,92.5,14.2
Montachusett Regional Vocational Technical,08320000,Administrators,      15,90.7,20.5
Montachusett Regional Vocational Technical,08320000,Teachers,     119,93.0,12.5
Mount Greylock,07150000,All Staff,     230,92.9,12.9
Mount Greylock,07150000,Administrators,      15,95.6,9.8
Mount Greylock,07150000,Teachers,     114,92.9,12.9
Mystic Valley Regional Charter (District),04700000,All Staff,     192,97.0,6.0
Mystic Valley Regional Charter (District),04700000,Administrators,      19,98.0,4.4
Mystic Valley Regional Charter (District),04700000,Teachers,     123,96.9,6.2
Nahant,01960000,All Staff,      32,93.3,9.1
Nahant,01960000,Administrators,       3,-,-
Nahant,01960000,Teachers,      15,95.2,6.2
Nantucket,01970000,All Staff,     321,94.0,11.2
Nantucket,01970000,Administrators,      21,94.9,11.6
Nantucket,01970000,Teachers,     182,94.4,10.2
Narragansett,07200000,All Staff,     223,91.4,15.7
Narragansett,07200000,Administrators,      15,96.3,7.7
Narragansett,07200000,Teachers,     115,91.8,14.8
Nashoba,07250000,All Staff,     482,94.1,11.0
Nashoba,07250000,Administrators,      32,95.5,9.9
Nashoba,07250000,Teachers,     252,94.1,10.8
Nashoba Valley Regional Vocational Technical,08520000,All Staff,     117,94.0,11.0
Nashoba Valley Regional Vocational Technical,08520000,Administrators,      17,94.6,11.4
Nashoba Valley Regional Vocational Technical,08520000,Teachers,      68,93.4,11.9
Natick,01980000,All Staff,     918,93.9,11.1
Natick,01980000,Administrators,      64,95.7,8.3
Natick,01980000,Teachers,     481,93.4,12.1
Nauset,06600000,All Staff,     235,96.3,6.5
Nauset,06600000,Administrators,      18,98.7,2.3
Nauset,06600000,Teachers,     136,96.4,6.3
Needham,01990000,All Staff,"   1,016",94.3,10.3
Needham,01990000,Administrators,      72,95.2,10.3
Needham,01990000,Teachers,     493,93.6,11.7
Neighborhood House Charter (District),04440000,All Staff,     178,95.5,7.5
Neighborhood House Charter (District),04440000,Administrators,      33,94.3,10.0
Neighborhood House Charter (District),04440000,Teachers,      88,96.1,6.6
New Bedford,02010000,All Staff,"   2,260",94.8,9.5
New Bedford,02010000,Administrators,     107,95.5,9.9
New Bedford,02010000,Teachers,"   1,147",94.9,9.3
New Heights Charter School of Brockton (District),35130000,All Staff,      85,94.8,9.0
New Heights Charter School of Brockton (District),35130000,Administrators,      20,93.0,14.5
New Heights Charter School of Brockton (District),35130000,Teachers,      63,95.6,7.3
New Salem-Wendell,07280000,All Staff,      52,92.0,14.4
New Salem-Wendell,07280000,Administrators,       6,91.1,21.5
New Salem-Wendell,07280000,Teachers,      17,93.8,9.8
Newburyport,02040000,All Staff,     400,92.1,14.1
Newburyport,02040000,Administrators,      20,95.6,9.3
Newburyport,02040000,Teachers,     233,91.9,14.6
Newton,02070000,All Staff,"   2,445",93.8,11.3
Newton,02070000,Administrators,     136,95.8,8.9
Newton,02070000,Teachers,"   1,189",93.8,11.3
Norfolk,02080000,All Staff,     169,94.5,9.8
Norfolk,02080000,Administrators,      11,92.1,14.5
Norfolk,02080000,Teachers,      87,94.5,9.7
Norfolk County Agricultural,09150000,All Staff,      87,94.9,9.7
Norfolk County Agricultural,09150000,Administrators,       8,95.5,9.9
Norfolk County Agricultural,09150000,Teachers,      59,94.9,9.4
North Adams,02090000,All Staff,     278,92.7,12.6
North Adams,02090000,Administrators,      31,94.0,11.8
North Adams,02090000,Teachers,     115,92.4,13.3
North Andover,02110000,All Staff,     704,92.5,13.2
North Andover,02110000,Administrators,      41,96.9,5.8
North Andover,02110000,Teachers,     366,92.4,13.7
North Attleborough,02120000,All Staff,     584,93.6,11.5
North Attleborough,02120000,Administrators,      40,95.3,9.8
North Attleborough,02120000,Teachers,     312,94.1,10.6
North Middlesex,07350000,All Staff,     426,91.9,14.7
North Middlesex,07350000,Administrators,      22,96.9,7.2
North Middlesex,07350000,Teachers,     239,91.1,16.0
North Reading,02170000,All Staff,     361,94.0,11.0
North Reading,02170000,Administrators,      17,97.1,6.4
North Reading,02170000,Teachers,     213,94.1,10.8
Northampton,02100000,All Staff,     511,90.6,16.5
Northampton,02100000,Administrators,      22,92.8,14.3
Northampton,02100000,Teachers,     239,91.0,15.9
Northampton-Smith Vocational Agricultural,04060000,All Staff,     107,90.7,18.2
Northampton-Smith Vocational Agricultural,04060000,Administrators,      13,76.7,57.9
Northampton-Smith Vocational Agricultural,04060000,Teachers,      66,93.5,12.0
Northboro-Southboro,07300000,All Staff,     233,93.0,12.9
Northboro-Southboro,07300000,Administrators,      20,96.0,9.2
Northboro-Southboro,07300000,Teachers,     120,91.8,14.9
Northborough,02130000,All Staff,     319,92.7,13.4
Northborough,02130000,Administrators,      22,95.9,9.0
Northborough,02130000,Teachers,     151,92.5,13.3
Northbridge,02140000,All Staff,     343,94.8,10.1
Northbridge,02140000,Administrators,      32,91.6,17.9
Northbridge,02140000,Teachers,     157,95.6,9.1
Northeast Metropolitan Regional Vocational Technical,08530000,All Staff,     199,92.2,14.7
Northeast Metropolitan Regional Vocational Technical,08530000,Administrators,      16,93.8,14.4
Northeast Metropolitan Regional Vocational Technical,08530000,Teachers,     138,93.0,12.6
Northern Berkshire Regional Vocational Technical,08510000,All Staff,      76,92.9,13.3
Northern Berkshire Regional Vocational Technical,08510000,Administrators,       4,-,-
Northern Berkshire Regional Vocational Technical,08510000,Teachers,      52,93.7,11.2
Norton,02180000,All Staff,     367,95.3,8.5
Norton,02180000,Administrators,      24,96.5,7.6
Norton,02180000,Teachers,     202,95.2,8.5
Norwell,02190000,All Staff,     306,93.2,11.9
Norwell,02190000,Administrators,      22,96.6,6.7
Norwell,02190000,Teachers,     176,93.3,12.0
Norwood,02200000,All Staff,     627,93.8,11.1
Norwood,02200000,Administrators,      37,96.4,7.1
Norwood,02200000,Teachers,     348,93.8,11.2
Oak Bluffs,02210000,All Staff,     165,93.2,8.0
Oak Bluffs,02210000,Administrators,       9,96.5,3.2
Oak Bluffs,02210000,Teachers,      64,93.0,10.8
Old Colony Regional Vocational Technical,08550000,All Staff,      98,93.5,11.8
Old Colony Regional Vocational Technical,08550000,Administrators,      10,93.9,12.5
Old Colony Regional Vocational Technical,08550000,Teachers,      61,93.3,12.0
Old Rochester,07400000,All Staff,     180,93.7,11.4
Old Rochester,07400000,Administrators,      12,96.3,7.8
Old Rochester,07400000,Teachers,      91,93.3,11.9
Old Sturbridge Academy Charter Public School (District),35150000,All Staff,      63,95.5,8.2
Old Sturbridge Academy Charter Public School (District),35150000,Administrators,       6,96.0,8.7
Old Sturbridge Academy Charter Public School (District),35150000,Teachers,      26,93.8,11.2
Orange,02230000,All Staff,      89,92.8,13.7
Orange,02230000,Administrators,       8,95.0,12.3
Orange,02230000,Teachers,      40,93.1,12.4
Orleans,02240000,All Staff,      63,96.9,5.5
Orleans,02240000,Administrators,      10,99.8,0.4
Orleans,02240000,Teachers,      23,95.7,7.6
Oxford,02260000,All Staff,     257,93.3,11.8
Oxford,02260000,Administrators,      15,95.7,8.7
Oxford,02260000,Teachers,     142,93.0,12.4
Palmer,02270000,All Staff,     228,92.2,13.6
Palmer,02270000,Administrators,      12,95.6,9.5
Palmer,02270000,Teachers,     104,92.4,13.5
Pathfinder Regional Vocational Technical,08600000,All Staff,     125,93.9,11.3
Pathfinder Regional Vocational Technical,08600000,Administrators,      10,96.9,7.6
Pathfinder Regional Vocational Technical,08600000,Teachers,      72,94.2,10.2
Peabody,02290000,All Staff,     887,95.2,8.3
Peabody,02290000,Administrators,      40,96.8,5.7
Peabody,02290000,Teachers,     480,94.9,9.2
Pelham,02300000,All Staff,      66,96.3,7.3
Pelham,02300000,Administrators,      18,98.9,2.4
Pelham,02300000,Teachers,      14,92.2,13.7
Pembroke,02310000,All Staff,     312,95.0,9.3
Pembroke,02310000,Administrators,      24,95.8,9.8
Pembroke,02310000,Teachers,     183,94.9,9.4
Pentucket,07450000,All Staff,     353,95.4,8.5
Pentucket,07450000,Administrators,      31,97.2,6.2
Pentucket,07450000,Teachers,     195,95.2,8.7
Petersham,02340000,All Staff,      31,94.2,11.4
Petersham,02340000,Administrators,       8,94.7,12.9
Petersham,02340000,Teachers,      13,95.5,7.8
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,All Staff,      34,95.9,7.5
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,Administrators,      15,96.5,6.5
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,Teachers,      12,95.5,8.3
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,All Staff,      19,97.0,5.5
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,Administrators,       7,98.0,3.7
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,Teachers,       7,96.0,7.0
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,All Staff,      25,96.3,7.0
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,Administrators,       8,97.6,4.8
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,Teachers,      12,95.5,8.3
Pioneer Charter School of Science (District),04940000,All Staff,     105,96.9,3.4
Pioneer Charter School of Science (District),04940000,Administrators,      14,97.4,4.3
Pioneer Charter School of Science (District),04940000,Teachers,      76,96.4,3.4
Pioneer Charter School of Science II (District),35060000,All Staff,      80,99.1,1.4
Pioneer Charter School of Science II (District),35060000,Administrators,       9,99.6,0.8
Pioneer Charter School of Science II (District),35060000,Teachers,      61,98.9,1.6
Pioneer Valley,07500000,All Staff,     152,90.8,16.8
Pioneer Valley,07500000,Administrators,      14,90.8,19.2
Pioneer Valley,07500000,Teachers,      61,91.8,14.6
Pioneer Valley Chinese Immersion Charter (District),04970000,All Staff,     124,95.3,8.1
Pioneer Valley Chinese Immersion Charter (District),04970000,Administrators,      14,96.2,6.6
Pioneer Valley Chinese Immersion Charter (District),04970000,Teachers,      82,96.5,6.5
Pioneer Valley Performing Arts Charter Public (District),04790000,All Staff,      87,92.1,13.9
Pioneer Valley Performing Arts Charter Public (District),04790000,Administrators,      10,95.5,10.2
Pioneer Valley Performing Arts Charter Public (District),04790000,Teachers,      46,92.4,14.0
Pittsfield,02360000,All Staff,     966,90.9,16.0
Pittsfield,02360000,Administrators,      73,93.2,13.3
Pittsfield,02360000,Teachers,     499,91.5,15.2
Plainville,02380000,All Staff,     121,94.3,10.3
Plainville,02380000,Administrators,       9,98.0,3.8
Plainville,02380000,Teachers,      54,94.5,10.1
Plymouth,02390000,All Staff,"   1,185",94.6,9.7
Plymouth,02390000,Administrators,      83,96.2,7.5
Plymouth,02390000,Teachers,     664,94.5,9.9
Plympton,02400000,All Staff,      65,94.3,10.5
Plympton,02400000,Administrators,      11,95.8,9.3
Plympton,02400000,Teachers,      19,93.2,12.6
Prospect Hill Academy Charter (District),04870000,All Staff,     172,94.9,9.3
Prospect Hill Academy Charter (District),04870000,Administrators,      22,95.5,8.5
Prospect Hill Academy Charter (District),04870000,Teachers,      96,95.0,9.2
Provincetown,02420000,All Staff,      37,94.6,8.3
Provincetown,02420000,Administrators,       3,-,-
Provincetown,02420000,Teachers,      24,95.4,7.3
Quabbin,07530000,All Staff,     355,94.7,9.2
Quabbin,07530000,Administrators,      19,96.7,5.8
Quabbin,07530000,Teachers,     154,94.3,10.0
Quaboag Regional,07780000,All Staff,     227,93.7,11.2
Quaboag Regional,07780000,Administrators,      13,95.9,8.7
Quaboag Regional,07780000,Teachers,      96,92.9,12.6
Quincy,02430000,All Staff,"   1,344",94.2,10.5
Quincy,02430000,Administrators,      87,96.0,7.7
Quincy,02430000,Teachers,     776,94.2,10.4
Ralph C Mahar,07550000,All Staff,     100,92.7,13.7
Ralph C Mahar,07550000,Administrators,       8,95.0,12.6
Ralph C Mahar,07550000,Teachers,      63,92.4,13.6
Randolph,02440000,All Staff,     479,92.1,14.0
Randolph,02440000,Administrators,      34,94.0,12.7
Randolph,02440000,Teachers,     254,92.1,14.1
Reading,02460000,All Staff,     659,93.8,11.3
Reading,02460000,Administrators,      51,97.1,6.0
Reading,02460000,Teachers,     343,93.5,11.9
Revere,02480000,All Staff,"   1,180",92.8,13.5
Revere,02480000,Administrators,      57,95.0,11.4
Revere,02480000,Teachers,     698,92.6,13.5
Richmond,02490000,All Staff,      42,92.4,12.3
Richmond,02490000,Administrators,       2,-,-
Richmond,02490000,Teachers,      19,91.7,14.5
Rising Tide Charter Public (District),04830000,All Staff,     105,95.1,8.5
Rising Tide Charter Public (District),04830000,Administrators,      16,94.5,9.9
Rising Tide Charter Public (District),04830000,Teachers,      65,95.3,8.2
River Valley Charter (District),04820000,All Staff,      58,93.7,10.9
River Valley Charter (District),04820000,Administrators,       7,91.3,17.4
River Valley Charter (District),04820000,Teachers,      26,93.4,12.2
Rochester,02500000,All Staff,      94,93.0,13.0
Rochester,02500000,Administrators,       8,96.1,9.5
Rochester,02500000,Teachers,      42,93.8,11.0
Rockland,02510000,All Staff,     336,93.3,12.0
Rockland,02510000,Administrators,      30,95.1,9.9
Rockland,02510000,Teachers,     184,93.6,11.5
Rockport,02520000,All Staff,     136,91.5,15.9
Rockport,02520000,Administrators,       8,93.8,15.4
Rockport,02520000,Teachers,      81,91.0,16.4
Rowe,02530000,All Staff,      27,96.4,6.2
Rowe,02530000,Administrators,       4,-,-
Rowe,02530000,Teachers,       9,94.8,7.4
Roxbury Preparatory Charter (District),04840000,All Staff,      98,97.2,5.6
Roxbury Preparatory Charter (District),04840000,Administrators,      29,97.5,5.4
Roxbury Preparatory Charter (District),04840000,Teachers,      45,97.3,5.7
Salem,02580000,All Staff,     827,91.0,16.7
Salem,02580000,Administrators,      58,91.7,17.8
Salem,02580000,Teachers,     396,91.3,15.9
Salem Academy Charter (District),04850000,All Staff,      88,93.8,11.2
Salem Academy Charter (District),04850000,Administrators,      18,94.8,10.7
Salem Academy Charter (District),04850000,Teachers,      56,93.7,10.8
Sandwich,02610000,All Staff,     395,94.0,11.0
Sandwich,02610000,Administrators,      31,94.8,10.6
Sandwich,02610000,Teachers,     199,93.4,12.0
Saugus,02620000,All Staff,     349,91.0,16.6
Saugus,02620000,Administrators,      16,82.2,40.1
Saugus,02620000,Teachers,     197,92.6,13.3
Savoy,02630000,All Staff,      17,96.0,7.1
Savoy,02630000,Administrators,       5,-,-
Savoy,02630000,Teachers,       8,94.4,8.5
Scituate,02640000,All Staff,     442,93.9,11.2
Scituate,02640000,Administrators,      34,96.0,8.7
Scituate,02640000,Teachers,     259,93.7,11.4
Seekonk,02650000,All Staff,     330,92.9,12.5
Seekonk,02650000,Administrators,      15,95.5,9.5
Seekonk,02650000,Teachers,     179,93.6,11.5
Sharon,02660000,All Staff,     554,93.2,12.3
Sharon,02660000,Administrators,      37,95.0,10.2
Sharon,02660000,Teachers,     277,93.8,11.2
Shawsheen Valley Regional Vocational Technical,08710000,All Staff,     215,93.2,12.4
Shawsheen Valley Regional Vocational Technical,08710000,Administrators,      12,92.3,16.3
Shawsheen Valley Regional Vocational Technical,08710000,Teachers,     137,93.7,11.4
Sherborn,02690000,All Staff,      96,93.5,11.6
Sherborn,02690000,Administrators,      13,95.1,9.2
Sherborn,02690000,Teachers,      39,94.1,10.7
Shrewsbury,02710000,All Staff,     981,93.9,11.4
Shrewsbury,02710000,Administrators,      55,96.1,8.1
Shrewsbury,02710000,Teachers,     464,93.9,11.3
Shutesbury,02720000,All Staff,      51,92.3,13.9
Shutesbury,02720000,Administrators,       6,92.3,18.3
Shutesbury,02720000,Teachers,      21,93.7,10.5
Silver Lake,07600000,All Staff,     269,93.7,11.3
Silver Lake,07600000,Administrators,      26,95.2,10.0
Silver Lake,07600000,Teachers,     149,93.3,12.1
Sizer School: A North Central Charter Essential (District),04740000,All Staff,      60,96.5,6.3
Sizer School: A North Central Charter Essential (District),04740000,Administrators,       7,97.2,5.7
Sizer School: A North Central Charter Essential (District),04740000,Teachers,      41,97.2,5.0
Somerset,02730000,All Staff,     302,92.7,12.8
Somerset,02730000,Administrators,      25,95.3,8.7
Somerset,02730000,Teachers,     146,92.6,13.2
Somerset Berkley Regional School District,07630000,All Staff,     148,93.9,11.4
Somerset Berkley Regional School District,07630000,Administrators,      23,94.6,10.8
Somerset Berkley Regional School District,07630000,Teachers,      89,93.9,11.1
Somerville,02740000,All Staff,     832,92.2,14.5
Somerville,02740000,Administrators,     106,93.4,13.5
Somerville,02740000,Teachers,     494,92.3,14.3
South Hadley,02780000,All Staff,     338,92.5,13.7
South Hadley,02780000,Administrators,      19,90.1,21.5
South Hadley,02780000,Teachers,     158,93.0,12.6
South Middlesex Regional Vocational Technical,08290000,All Staff,     150,94.6,10.1
South Middlesex Regional Vocational Technical,08290000,Administrators,      10,96.6,7.0
South Middlesex Regional Vocational Technical,08290000,Teachers,      94,94.4,10.0
South Shore Charter Public (District),04880000,All Staff,     170,94.1,10.8
South Shore Charter Public (District),04880000,Administrators,      14,94.4,11.9
South Shore Charter Public (District),04880000,Teachers,     101,94.1,10.9
South Shore Regional Vocational Technical,08730000,All Staff,     112,93.6,11.8
South Shore Regional Vocational Technical,08730000,Administrators,      11,96.7,6.9
South Shore Regional Vocational Technical,08730000,Teachers,      70,93.3,11.8
Southampton,02750000,All Staff,      87,92.7,12.0
Southampton,02750000,Administrators,       6,97.1,6.7
Southampton,02750000,Teachers,      43,91.0,14.7
Southborough,02760000,All Staff,     282,93.8,11.5
Southborough,02760000,Administrators,      23,95.5,9.7
Southborough,02760000,Teachers,     119,93.4,12.1
Southbridge,02770000,All Staff,     441,94.0,10.7
Southbridge,02770000,Administrators,      42,94.9,12.0
Southbridge,02770000,Teachers,     184,95.1,8.9
Southeastern Regional Vocational Technical,08720000,All Staff,     247,93.0,12.7
Southeastern Regional Vocational Technical,08720000,Administrators,      16,95.5,9.6
Southeastern Regional Vocational Technical,08720000,Teachers,     137,93.3,12.0
Southern Berkshire,07650000,All Staff,     142,91.2,15.8
Southern Berkshire,07650000,Administrators,      10,91.4,15.5
Southern Berkshire,07650000,Teachers,      79,93.1,12.4
Southern Worcester County Regional Vocational School District,08760000,All Staff,     179,94.8,9.5
Southern Worcester County Regional Vocational School District,08760000,Administrators,      16,92.6,15.0
Southern Worcester County Regional Vocational School District,08760000,Teachers,     116,95.8,7.6
Southwick-Tolland-Granville Regional School District,07660000,All Staff,     247,93.1,12.1
Southwick-Tolland-Granville Regional School District,07660000,Administrators,      15,96.1,7.5
Southwick-Tolland-Granville Regional School District,07660000,Teachers,     121,93.1,12.3
Spencer-E Brookfield,07670000,All Staff,     278,93.6,11.1
Spencer-E Brookfield,07670000,Administrators,      15,97.0,6.3
Spencer-E Brookfield,07670000,Teachers,     123,92.9,12.6
Springfield,02810000,All Staff,"   4,469",93.3,12.3
Springfield,02810000,Administrators,     229,95.5,9.6
