District Name,District Code,# in Cohort,Percentage Graduated,Percentage Still in School,Percentage Non-Grad Completers,Percentage H.S. Equiv.,Percentage Dropped Out,Percentage Permanently Excluded
Dennis-Yarmouth,06450000,       194,    89.7,     5.7,     0.5,     0.0,     4.1,     0.0
Dighton-Rehoboth,06500000,       172,    91.9,     4.7,     0.0,     0.6,     2.9,     0.0
Douglas,00770000,        65,    98.5,     1.5,     0.0,     0.0,     0.0,     0.0
Dover-Sherborn,06550000,       157,    98.1,     1.9,     0.0,     0.0,     0.0,     0.0
Dracut,00790000,       216,    88.4,     4.2,     0.0,     0.5,     6.9,     0.0
Dudley-Charlton Reg,06580000,       212,    90.6,     3.8,     0.5,     0.5,     4.7,     0.0
Duxbury,00820000,       223,    98.2,     1.3,     0.0,     0.0,     0.4,     0.0
East Bridgewater,00830000,       124,    96.0,     2.4,     0.0,     0.0,     1.6,     0.0
East Longmeadow,00870000,       176,    97.2,     1.1,     0.0,     0.6,     1.1,     0.0
Easthampton,00860000,       101,    93.1,     2.0,     0.0,     1.0,     4.0,     0.0
Easton,00880000,       299,    98.0,     1.7,     0.0,     0.0,     0.3,     0.0
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,        82,    91.5,     1.2,     0.0,     0.0,     6.1,     1.2
Essex North Shore Agricultural and Technical School District,08170000,       419,    99.5,     0.2,     0.0,     0.0,     0.2,     0.0
Everett,00930000,       667,    78.0,     8.1,     0.1,     0.3,    13.5,     0.0
Excel Academy Charter (District),04100000,       163,    95.1,     2.5,     0.6,     0.0,     1.8,     0.0
Fairhaven,00940000,       151,    94.0,     3.3,     0.0,     0.7,     2.0,     0.0
Fall River,00950000,       759,    76.8,     7.1,     0.8,     0.4,    14.9,     0.0
Falmouth,00960000,       210,    91.0,     2.9,     0.0,     1.9,     4.3,     0.0
Fitchburg,00970000,       387,    84.8,     5.9,     0.3,     0.3,     8.8,     0.0
Four Rivers Charter Public (District),04130000,        32,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Foxborough,00990000,       199,    95.0,     3.5,     0.0,     0.5,     1.0,     0.0
Foxborough Regional Charter (District),04460000,        86,    96.5,     1.2,     0.0,     0.0,     2.3,     0.0
Framingham,01000000,       754,    74.3,     6.9,     2.9,     0.5,    15.4,     0.0
Francis W. Parker Charter Essential (District),04780000,        57,    96.5,     3.5,     0.0,     0.0,     0.0,     0.0
Franklin,01010000,       393,    97.7,     2.0,     0.0,     0.0,     0.3,     0.0
Franklin County Regional Vocational Technical,08180000,       160,    93.8,     0.0,     0.0,     0.6,     5.6,     0.0
Freetown-Lakeville,06650000,       176,    96.0,     2.8,     0.6,     0.0,     0.6,     0.0
Frontier,06700000,        97,    91.8,     3.1,     0.0,     1.0,     4.1,     0.0
Gardner,01030000,       238,    87.8,     5.5,     0.4,     0.8,     5.5,     0.0
Gateway,06720000,        37,    86.5,    10.8,     0.0,     0.0,     2.7,     0.0
Georgetown,01050000,        66,    93.9,     1.5,     1.5,     1.5,     1.5,     0.0
Gill-Montague,06740000,        49,    81.6,     4.1,     0.0,     0.0,    14.3,     0.0
Global Learning Charter Public (District),04960000,        37,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Gloucester,01070000,       202,    84.7,     5.0,     0.5,     0.5,     9.4,     0.0
Grafton,01100000,       220,    93.6,     3.2,     0.0,     0.5,     2.7,     0.0
Granby,01110000,        52,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Greater Commonwealth Virtual District,39010000,       184,    58.7,    10.9,     0.0,     4.3,    26.1,     0.0
Greater Fall River Regional Vocational Technical,08210000,       355,    98.9,     0.0,     0.6,     0.0,     0.6,     0.0
Greater Lawrence Regional Vocational Technical,08230000,       424,    99.5,     0.0,     0.0,     0.0,     0.5,     0.0
Greater Lowell Regional Vocational Technical,08280000,       571,    98.6,     0.9,     0.2,     0.0,     0.4,     0.0
Greater New Bedford Regional Vocational Technical,08250000,       497,    97.8,     1.4,     0.0,     0.0,     0.6,     0.2
Greenfield,01140000,        91,    85.7,     2.2,     4.4,     0.0,     7.7,     0.0
Groton-Dunstable,06730000,       170,    95.3,     4.1,     0.6,     0.0,     0.0,     0.0
Hadley,01170000,        42,    92.9,     4.8,     0.0,     0.0,     2.4,     0.0
Hamilton-Wenham,06750000,       113,    97.3,     2.7,     0.0,     0.0,     0.0,     0.0
Hampden Charter School of Science (District),04990000,       116,    94.0,     1.7,     0.0,     0.9,     3.4,     0.0
Hampden-Wilbraham,06800000,       245,    95.9,     0.8,     0.8,     0.8,     1.6,     0.0
Hampshire,06830000,       104,    97.1,     1.0,     0.0,     0.0,     1.9,     0.0
Hanover,01220000,       176,    96.6,     2.3,     0.0,     0.6,     0.6,     0.0
Harvard,01250000,        88,    95.5,     4.5,     0.0,     0.0,     0.0,     0.0
Hatfield,01270000,        20,    90.0,     0.0,     0.0,     0.0,    10.0,     0.0
Haverhill,01280000,       549,    86.7,     4.7,     0.4,     0.4,     7.8,     0.0
Hingham,01310000,       272,    94.9,     3.3,     0.0,     0.0,     1.5,     0.4
Holbrook,01330000,        75,    93.3,     2.7,     0.0,     0.0,     4.0,     0.0
Holliston,01360000,       206,    95.1,     3.9,     0.0,     0.0,     1.0,     0.0
Holyoke,01370000,       402,    80.8,     7.2,     0.5,     0.5,    10.7,     0.2
Hoosac Valley Regional,06030000,        50,    86.0,     0.0,     0.0,     0.0,    14.0,     0.0
Hopedale,01380000,        62,    96.8,     0.0,     0.0,     0.0,     3.2,     0.0
Hopkinton,01390000,       331,    95.8,     3.6,     0.3,     0.0,     0.3,     0.0
Hudson,01410000,       191,    87.4,     5.8,     0.0,     0.5,     6.3,     0.0
Hull,01420000,        64,    95.3,     1.6,     0.0,     0.0,     3.1,     0.0
Innovation Academy Charter (District),04350000,        94,    94.7,     3.2,     0.0,     0.0,     2.1,     0.0
Ipswich,01440000,       121,    95.0,     4.1,     0.0,     0.8,     0.0,     0.0
King Philip,06900000,       277,    95.3,     2.2,     0.0,     0.4,     2.2,     0.0
KIPP Academy Lynn Charter (District),04290000,       126,    97.6,     0.8,     0.0,     0.0,     1.6,     0.0
Lawrence,01490000,"     1,004",    82.2,     7.1,     0.2,     0.1,    10.5,     0.0
Lee,01500000,        55,    98.2,     1.8,     0.0,     0.0,     0.0,     0.0
Leicester,01510000,        89,    91.0,     5.6,     0.0,     0.0,     3.4,     0.0
Lenox,01520000,        60,    95.0,     1.7,     0.0,     0.0,     3.3,     0.0
Leominster,01530000,       493,    90.9,     3.2,     0.0,     0.2,     5.7,     0.0
Lexington,01550000,       598,    98.2,     1.8,     0.0,     0.0,     0.0,     0.0
Libertas Academy Charter School (District),35140000,        67,    85.1,     1.5,     0.0,     0.0,    13.4,     0.0
Lincoln-Sudbury,06950000,       393,    98.0,     1.5,     0.0,     0.0,     0.5,     0.0
Littleton,01580000,       126,    96.8,     1.6,     0.0,     0.0,     1.6,     0.0
Longmeadow,01590000,       233,    96.6,     3.0,     0.0,     0.0,     0.4,     0.0
Lowell,01600000,       909,    80.2,     5.9,     0.9,     0.7,    12.3,     0.0
Lowell Middlesex Academy Charter (District),04580000,        47,    38.3,    36.2,     0.0,     4.3,    21.3,     0.0
Ludlow,01610000,       203,    88.2,     3.9,     1.5,     1.0,     5.4,     0.0
Lunenburg,01620000,       101,    96.0,     1.0,     0.0,     0.0,     3.0,     0.0
Lynn,01630000,"     1,716",    75.6,     3.9,     0.2,     0.0,    20.2,     0.0
Lynnfield,01640000,       141,    97.9,     1.4,     0.0,     0.0,     0.7,     0.0
Ma Academy for Math and Science,04680000,        49,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Malden,01650000,       528,    85.2,     5.3,     0.0,     0.4,     9.1,     0.0
Manchester Essex Regional,06980000,       116,    97.4,     0.9,     0.0,     0.0,     1.7,     0.0
Mansfield,01670000,       245,    96.7,     1.6,     0.0,     0.0,     1.6,     0.0
Map Academy Charter School (District),35170000,        61,    27.9,    63.9,     0.0,     0.0,     8.2,     0.0
Marblehead,01680000,       248,    97.6,     2.0,     0.0,     0.4,     0.0,     0.0
Marlborough,01700000,       300,    90.7,     4.7,     0.0,     0.0,     4.7,     0.0
Marshfield,01710000,       324,    95.7,     2.5,     0.0,     0.6,     1.2,     0.0
Martha's Vineyard,07000000,       225,    84.0,     2.2,     1.3,     0.0,    12.4,     0.0
Masconomet,07050000,       223,    96.9,     2.2,     0.0,     0.0,     0.9,     0.0
Mashpee,01720000,       117,    89.7,     6.0,     0.0,     0.9,     3.4,     0.0
Match Charter Public School (District),04690000,        63,    82.5,     7.9,     0.0,     1.6,     7.9,     0.0
Maynard,01740000,        85,    91.8,     0.0,     0.0,     1.2,     7.1,     0.0
Medfield,01750000,       182,    96.7,     2.2,     0.0,     0.0,     1.1,     0.0
Medford,01760000,       298,    90.9,     3.4,     0.0,     0.7,     5.0,     0.0
Medway,01770000,       176,    93.2,     1.7,     0.0,     0.6,     4.5,     0.0
Melrose,01780000,       251,    97.6,     1.6,     0.0,     0.0,     0.4,     0.4
Mendon-Upton,07100000,       161,    93.8,     2.5,     0.0,     0.6,     3.1,     0.0
Methuen,01810000,       541,    90.9,     2.4,     0.7,     0.2,     5.7,     0.0
Middleborough,01820000,       223,    88.8,     4.5,     0.0,     0.0,     6.7,     0.0
Milford,01850000,       369,    79.7,     4.3,     0.3,     0.5,    15.2,     0.0
Millbury,01860000,       128,    93.8,     2.3,     0.0,     0.8,     3.1,     0.0
Millis,01870000,        82,    96.3,     2.4,     0.0,     0.0,     1.2,     0.0
Milton,01890000,       271,    95.9,     3.0,     0.0,     0.0,     1.1,     0.0
Minuteman Regional Vocational Technical,08300000,       177,    95.5,     0.6,     0.0,     0.0,     4.0,     0.0
Mohawk Trail,07170000,        42,    88.1,     4.8,     0.0,     2.4,     4.8,     0.0
Monomoy Regional School District,07120000,       155,    97.4,     1.9,     0.0,     0.0,     0.6,     0.0
Monson,01910000,        30,    80.0,    10.0,     0.0,     3.3,     6.7,     0.0
Montachusett Regional Vocational Technical,08320000,       345,    98.6,     0.6,     0.0,     0.0,     0.9,     0.0
