District Name,District Code,# in Cohort,Percentage Graduated,Percentage Still in School,Percentage Non-Grad Completers,Percentage H.S. Equiv.,Percentage Dropped Out,Percentage Permanently Excluded
Westwood,03350000,       210,    98.6,     0.5,     0.0,     0.0,     1.0,     0.0
Weymouth,03360000,       482,    89.4,     3.7,     0.2,     0.8,     5.8,     0.0
Whitman-Hanson,07800000,       270,    88.9,     5.2,     0.4,     0.4,     5.2,     0.0
Whittier Regional Vocational Technical,08850000,       310,    99.0,     0.0,     0.0,     0.3,     0.6,     0.0
Wilmington,03420000,       152,    93.4,     3.9,     1.3,     0.0,     1.3,     0.0
Winchendon,03430000,        75,    70.7,     4.0,     0.0,     1.3,    24.0,     0.0
Winchester,03440000,       329,    96.0,     1.8,     0.0,     0.3,     1.8,     0.0
Winthrop,03460000,       160,    91.2,     3.1,     0.0,     0.6,     5.0,     0.0
Woburn,03470000,       369,    91.1,     3.5,     0.0,     0.0,     5.4,     0.0
Worcester,03480000,"     2,096",    85.5,     5.5,     0.2,     0.2,     8.5,     0.0
State Totals,00000000,"    76,414",    89.3,     4.3,     0.2,     0.3,     5.8,     0.0
